Uniprot ID1;Uniprot ID2;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Pfam);Sim(Seq)
P06602;P22810;0.432892343;0.56550073;0.278120371;0.294693186;1;0.069176105
P06602;P24350;0.331820524;0.47168524;0.257428962;0.280799335;0.5;0.045548196
P06602;P28166;0.346812703;0.462565245;0.280704896;0.308094166;0.5;0.027713305
P06602;P28167;0.31675846;0.447363726;0.316163899;0.341200618;0.5;0.013918525
P06602;P29555;0.401197042;0.520495955;0.299424965;0.331206622;0.5;0.074764168
P06602;P29673;0.415244768;0.550175638;0.269049015;0.299527812;0.5;0.049929003
P06602;P31264;0.371249617;0.524887757;0.257316449;0.296802923;1;0.074552346
P06602;P31368;0.385401684;0.502825904;0.245083489;0.274618188;0.5;0.045652836
P06602;P40427;0.397688235;0.532695123;0.292659235;0.318507778;0.5;0.041002884
P06602;P54366;0.315702928;0.478394088;0.266724958;0.300497509;1;0.074316126
P06602;P56672;0.292648239;0.436463009;0.121713408;0.1475419;1;0.069451482
P06602;P83949;0.424974308;0.547816606;0.332961919;0.36127516;1;0.093041421
P06602;Q03372;0.433433289;0.553002894;0.238516056;0.261756581;1;0.073739938
P06602;Q04787;0.312223064;0.466067261;0.184112826;0.221738385;1;0.087707713
P06602;Q06453;0.295933435;0.424774403;0.246079221;0.280384057;0.5;0.082399767
P06602;Q24255;0.380637992;0.510078245;0.314496204;0.345452481;1;0.075324229
P06602;Q24256;0.384596732;0.513736318;0.309173082;0.340221077;1;0.039740449
P06602;Q27350;0.314277578;0.430318903;0.28465192;0.311370622;0.5;0.035476201
P06602;Q4V5A3;0.347925987;0.504137443;0.284974631;0.322175045;1;0.077753165
P06602;Q7KS72;0.285815541;0.407988546;0.241147373;0.260175266;1;0.08759482
P06602;Q7KS77;0.421857458;0.54936731;0.345457954;0.360772645;1;0.070667242
P06602;Q7KSE4;0.294933903;0.423548374;0.242377415;0.278279363;1;0.053479078
P06602;Q7KUL4;0.398356305;0.557559605;0.283574479;0.320796814;1;0.105722208
P06602;Q7PL95;0.309734066;0.457841513;0.248153011;0.284334361;1;0.06882695
P06602;Q8IRC7;0.310451954;0.457528549;0.259159846;0.296560528;0.5;0.049965383
P06602;Q8MZ02;0.350375715;0.519245847;0.277217033;0.317479642;1;0.089022648
P06602;Q8T0M4;0.312008276;0.458864617;0.215328316;0.239420889;0.5;0.061606366
P06602;Q95RW8;0.313565746;0.442412075;0.240248118;0.270318371;0.5;0.030580828
P06602;Q9NHP8;0.337632229;0.507794909;0.358441277;0.40212077;1;0.064831609
P06602;Q9NJB5;0.29911134;0.455549573;0.214060896;0.246709655;0.5;0.011383641
P06602;Q9V472;0.363767233;0.505955926;0.337132425;0.368301841;0.5;0.04782893
P06602;Q9V490;0.331793134;0.47540494;0.259815882;0.297807349;0.5;0.063946669
P06602;Q9VCY0;0.2765532;0.449082086;0.209311122;0.241672389;1;0.141108111
P06602;Q9VDF0;0.292206669;0.438995484;0.261066157;0.300326735;1;0.070204601
P06602;Q9VDH9;0.276053255;0.453357764;0.170921468;0.208742131;1;0.080168757
P06602;Q9VEA3;0.357112939;0.541334067;0.275991895;0.317565055;1;0.07460828
P06602;Q9VEI9;0.307477158;0.439897609;0.21226286;0.23684188;1;0.061491144
P06602;Q9VFK4;0.30916333;0.471450431;0.257265732;0.296438338;1;0.05428908
P06602;Q9VFQ3;0.359223388;0.536581622;0.278627607;0.319731422;1;0.066397345
P06602;Q9VJ37;0.373196694;0.499653534;0.27026119;0.302801542;0.5;0.044425222
P06602;Q9VK71;0.308619091;0.452401254;0.220986993;0.256073444;0.5;0.033337643
P06602;Q9VSC2;0.293369392;0.417509002;0.12551176;0.151689718;1;0.089412759
P06602;Q9VTW3;0.281258123;0.430810336;0.261991343;0.301843778;0.5;0.030270079
P06602;Q9VTW5;0.295620504;0.451562496;0.262856924;0.303069203;0.5;0.033456525
P06602;Q9VTX7;0.320465998;0.455638481;0.251435243;0.280918515;0.5;0.058154428
P06602;Q9VWH1;0.283943286;0.464373494;0.180400802;0.222164472;1;0.059138968
P06602;Q9VX20;0.236676244;0.37186001;0.113533345;0.137501427;1;0.064098218
P06602;Q9VYL0;0.258963754;0.427973123;0.123666548;0.154262719;1;0.096250019
P06602;Q9W064;0.296955741;0.428662951;0.142184822;0.169765594;1;0.055166626
P06602;Q9W1H7;0.283943286;0.464373494;0.180400802;0.222164472;1;0.101309074
P06602;Q9W1U7;0.283943286;0.464373494;0.180400802;0.222164472;1;0.085148607
P06602;Q9W268;0.269329966;0.39017834;0.235878312;0.266942238;0.5;0.020113734
P06602;Q9W2P8;0.283943286;0.464373494;0.180400802;0.222164472;1;0.072746071
P06602;Q9W2Q1;0.31137173;0.469421503;0.170074871;0.208227922;0.5;0.052204278
P06602;Q9W3C6;0.283943286;0.464373494;0.180400802;0.222164472;1;0.079728912
P06602;Q9W4B2;0.296327362;0.439536092;0.223228517;0.252969736;1;0.041222623
P06602;Q9XZU0;0.278907693;0.409279129;0.242508454;0.277188778;1;0.081720817
P06602;Q9Y1P6;0.310533037;0.443800016;0.241099492;0.275907505;0.5;0.033698742
P06602;X2JDS9;0.326723112;0.482637212;0.226083674;0.256359869;0.5;0.050405569
P07548;P09077;0.437293336;0.601297858;0.458279084;0.502412608;1;0.13708534
P07548;P09081;0.374464968;0.521523409;0.37752724;0.407219522;1;0.051252321
P07548;P09082;0.30163833;0.430434301;0.239157016;0.271363175;0.5;0.047085203
P07548;P09083;0.330800128;0.479423011;0.263124191;0.302320686;0.5;0.050675389
P07548;P09085;0.394501574;0.526954132;0.279954667;0.316587819;1;0.080882218
P07548;P09087;0.400399641;0.514379918;0.253593657;0.273774957;1;0.073735423
P07548;P09089;0.336912835;0.516405879;0.399839248;0.445296028;1;0.09424026
P07548;P09090;0.3583822;0.555378568;0.407124671;0.452748374;1;0.10727981
P07548;P10035;0.302704497;0.461945509;0.193186088;0.22619713;1;0.055625474
P07548;P10105;0.393043886;0.526066496;0.355229179;0.380410892;1;0.076972464
P07548;P10180;0.300947702;0.415345827;0.239956701;0.256645036;0.5;0.012013622
P07548;P10181;0.298499252;0.428643076;0.279762921;0.310019798;1;0.080138559
P07548;P16241;0.391972747;0.5373534;0.297147573;0.34153195;0.5;0.035362038
P07548;P18488;0.39987072;0.547962847;0.333401917;0.361455079;1;0.065772883
P07548;P20009;0.3714286;0.508824129;0.311626642;0.344304492;1;0.067341367
P07548;P22711;0.357176599;0.492345818;0.317824898;0.35440686;1;0.063316264
P07548;P22807;0.322609169;0.476713836;0.503817595;0.545304454;1;0.064731277
P07548;P22808;0.390669929;0.537414214;0.503805425;0.537954377;1;0.044679444
P07548;P22809;0.308164852;0.455162013;0.354995605;0.401868464;1;0.0683183
P07548;P22810;0.412462927;0.542639164;0.309873977;0.331760675;1;0.047647629
P07548;P24350;0.296186776;0.438035891;0.33312413;0.352802375;0.5;0.035877223
P07548;P28166;0.276884578;0.401962216;0.30122454;0.332933649;0.5;0.022997391
P07548;P28167;0.314064058;0.455328644;0.462953948;0.480737386;0.5;0.010909657
P07548;P29555;0.379152131;0.510521395;0.350898743;0.383940847;0.5;0.092317361
P07548;P29673;0.364890326;0.502244969;0.298000537;0.325822498;0.5;0.038808847
P07548;P31264;0.457242633;0.628156214;0.434294234;0.477083305;1;0.073643207
P07548;P31368;0.368198322;0.498231929;0.294920745;0.341411648;0.5;0.031853026
P07548;P40427;0.38156859;0.534979314;0.36156102;0.39264886;0.5;0.03525765
P07548;P54366;0.347928749;0.528133883;0.418956105;0.453822473;1;0.053004524
P07548;P56672;0.302704497;0.461945509;0.193186088;0.22619713;1;0.055111053
P07548;P83949;0.394201789;0.519804671;0.350287658;0.380585626;1;0.103828406
P07548;Q03372;0.356529765;0.473039621;0.234822072;0.260431292;1;0.060688352
P07548;Q04787;0.317839797;0.49071857;0.275782004;0.323052076;1;0.0651888
P07548;Q06453;0.318220828;0.465886022;0.370989249;0.410500691;0.5;0.066450614
P07548;Q24255;0.372093795;0.512924192;0.429584048;0.467091696;1;0.06635376
P07548;Q24256;0.376052534;0.516582265;0.419537237;0.457517064;1;0.057198055
P07548;Q27350;0.315087734;0.442313073;0.387951153;0.415041493;0.5;0.027785223
P07548;Q4V5A3;0.363426741;0.535763329;0.451716034;0.50863005;1;0.073841912
P07548;Q7KS72;0.29499911;0.433553917;0.358163942;0.374663923;1;0.074885238
P07548;Q7KS77;0.308684891;0.423067859;0.241843978;0.271510663;1;0.066230759
P07548;Q7KSE4;0.297169828;0.43951447;0.365706262;0.413377417;1;0.049210721
P07548;Q7KUL4;0.392887754;0.547097846;0.387024784;0.423499131;1;0.099923949
P07548;Q7PL95;0.319625574;0.488031659;0.368155272;0.409562409;1;0.054459058
P07548;Q8IRC7;0.323537674;0.491260592;0.385065809;0.426231165;0.5;0.040651076
P07548;Q8MZ02;0.317969706;0.478642884;0.362515795;0.401432546;1;0.074564577
P07548;Q8T0M4;0.322357077;0.484568411;0.338633516;0.36313916;0.5;0.0491797
P07548;Q95RW8;0.311976136;0.456532014;0.332953597;0.364727519;0.5;0.025228495
P07548;Q9NHP8;0.367665814;0.527044143;0.54889761;0.589921724;1;0.060159138
P07548;Q9NJB5;0.324732034;0.500967348;0.360102061;0.40800791;0.5;0.015521919
P07548;Q9V472;0.380062216;0.540695159;0.496816297;0.525211598;0.5;0.034849709
P07548;Q9V490;0.343515464;0.5050504;0.381934131;0.424540678;0.5;0.053796619
P07548;Q9VCY0;0.307486835;0.501941319;0.333543156;0.372103386;1;0.097593682
P07548;Q9VDF0;0.298693063;0.465188783;0.388694139;0.435220388;1;0.063881709
P07548;Q9VDH9;0.303325507;0.502222143;0.269850535;0.318496852;1;0.049983011
P07548;Q9VEA3;0.333149243;0.508884294;0.380499516;0.4224925;1;0.067177403
P07548;Q9VEI9;0.279453775;0.417094053;0.310436269;0.335507783;1;0.062226363
P07548;Q9VFK4;0.318578059;0.501227965;0.39263228;0.438812933;1;0.059447338
P07548;Q9VFQ3;0.338026474;0.509211389;0.383055047;0.42404044;1;0.065520234
P07548;Q9VJ37;0.325727125;0.45464361;0.289829808;0.320209727;0.5;0.033654816
P07548;Q9VK71;0.30617207;0.447980622;0.326831446;0.370680544;0.5;0.024393552
P07548;Q9VSC2;0.246996881;0.356567785;0.154960396;0.182603814;1;0.085138607
P07548;Q9VTW3;0.302859598;0.471336603;0.405668012;0.452775177;0.5;0.034023263
P07548;Q9VTW5;0.307409595;0.484109388;0.400524797;0.446679153;0.5;0.03775688
P07548;Q9VTX7;0.321583309;0.471770344;0.361643096;0.391090916;0.5;0.047960493
P07548;Q9VWH1;0.311992402;0.514322499;0.287473748;0.342067013;1;0.047134225
P07548;Q9VX20;0.255387684;0.407138868;0.178914541;0.208415142;1;0.051278601
P07548;Q9VYL0;0.284083531;0.473900659;0.197066119;0.237518569;1;0.086867925
P07548;Q9W064;0.239790963;0.366100541;0.179816698;0.211679541;1;0.048487147
P07548;Q9W1H7;0.311992402;0.514322499;0.287473748;0.342067013;1;0.065956503
P07548;Q9W1U7;0.311992402;0.514322499;0.287473748;0.342067013;1;0.063054176
P07548;Q9W268;0.28143703;0.421402819;0.342725592;0.376511246;0.5;0.016472573
P07548;Q9W2P8;0.311992402;0.514322499;0.287473748;0.342067013;1;0.060914249
P07548;Q9W2Q1;0.322500431;0.498995966;0.251068814;0.299200151;0.5;0.04202945
P07548;Q9W3C6;0.311992402;0.514322499;0.287473748;0.342067013;1;0.068942873
P07548;Q9W4B2;0.316915275;0.480661219;0.346909538;0.381410075;1;0.03773151
P07548;Q9XZU0;0.311636085;0.463611327;0.38891494;0.436388161;1;0.061243392
P07548;Q9Y1P6;0.3109117;0.462644711;0.348242284;0.389242038;0.5;0.0292919
P07548;X2JDS9;0.342830537;0.518216655;0.35646101;0.390725306;0.5;0.042669399
P09077;P09081;0.377159171;0.536429209;0.378451453;0.398095699;1;0.056364334
P09077;P09082;0.287308357;0.424043807;0.292243099;0.311449752;0.5;0.055800533
P09077;P09083;0.324925659;0.482114067;0.349034154;0.369108912;0.5;0.057685632
P09077;P09085;0.368684716;0.511398445;0.320263543;0.349926266;1;0.096817197
P09077;P09087;0.406272826;0.561684471;0.218090058;0.251518217;1;0.09359129
P09077;P09089;0.3872833;0.591463173;0.564371178;0.576432463;1;0.109583059
P09077;P09090;0.353347705;0.559520537;0.544607994;0.5557928;1;0.138116122
P09077;P10035;0.298828933;0.465470417;0.260639871;0.279340535;1;0.069939847
P09077;P10105;0.394049647;0.572729028;0.502392596;0.507681987;1;0.088095157
P09077;P10180;0.311994992;0.430745251;0.193141133;0.205973246;0.5;0.013104693
P09077;P10181;0.278314927;0.413702389;0.340828541;0.355941272;1;0.098296311
P09077;P16241;0.359578922;0.517843619;0.3292261;0.36854827;0.5;0.047998667
P09077;P18488;0.352921491;0.506559097;0.379872877;0.392101776;1;0.0733667
P09077;P20009;0.367153242;0.514047983;0.364750052;0.385115419;1;0.087349183
P09077;P22711;0.363665316;0.509765396;0.277432598;0.307360431;1;0.069369596
P09077;P22807;0.320778203;0.484390136;0.419005972;0.442544273;1;0.068819599
P09077;P22808;0.382625673;0.537054707;0.426895838;0.445371656;1;0.052012514
P09077;P22809;0.358802442;0.538240646;0.516259734;0.541372776;1;0.079240903
P09077;P22810;0.394805927;0.561344106;0.250675736;0.282636891;1;0.054753358
P09077;P24350;0.272000854;0.419234181;0.280970515;0.294157665;0.5;0.044101479
