Uniprot ID1;Uniprot ID2;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Pfam);Sim(Seq)
P76037;P15993;0.36268923200000003;0.44373387200000003;0.14351018599999998;0.15361075300000002;1.0;0.06765486
P76339;P23837;0.35436774600000004;0.48271883600000004;0.205234618;0.220727667;0.333333333;0.059957953
P0A7V3;P06616;0.19703823199999998;0.326083729;0.032271256;0.043186709000000004;0.333333333;0.035298109
P0ACF8;P23895;0.16656358400000001;0.257943968;0.034719006000000004;0.049729216;0.0;0.062154731
P06611;P0AAH8;0.412226715;0.54830723;0.48763500200000004;0.533188591;1.0;0.08849053300000001
Q47689;P0AAE0;0.322297383;0.414370949;0.073715414;0.08846380400000001;1.0;0.259005206
P22256;P42588;0.47534195;0.6639997670000001;0.267785903;0.306896483;1.0;0.199902805
P33941;P75796;0.39338446299999996;0.532234665;0.341432015;0.367837646;0.5;0.046424663
P77485;P0AE82;0.425383742;0.58675031;0.549430964;0.5532237529999999;0.75;0.125616618
P0AAF3;P75957;0.282647818;0.401425066;0.082363067;0.096877005;1.0;0.148642734
P0CB39;P30845;0.498020255;0.687427179;0.269484506;0.300467043;1.0;0.060649750999999995
P0A746;P33232;0.25773695399999996;0.318864682;0.07271043099999999;0.074816281;0.0;0.029438269
P37028;P33643;0.165493874;0.216222639;0.037407747000000005;0.043828808;0.0;0.03655087
P0A6Y8;P23909;0.35507059399999996;0.491085276;0.280752596;0.31454100399999996;0.0;0.014430341000000001
P05804;P22259;0.250153229;0.388058454;0.077951721;0.094115004;0.0;0.01483421
P0A9U1;P0A9S7;0.35927848;0.414896024;0.091085835;0.090832532;0.5;0.114850291
P52094;P0AGH3;0.44807691899999996;0.659661733;0.261099232;0.30445045600000004;1.0;0.035062776000000004
P37689;P52094;0.13475143;0.192994458;0.012282243;0.015690518;0.0;0.024956218999999998
P76242;P39196;0.291146156;0.44492583399999996;0.126450541;0.166123978;1.0;0.020141318999999998
P0ADL1;P41036;0.466495638;0.601605877;0.176366594;0.197380571;1.0;0.057053092
P33941;P33593;0.318552928;0.434280586;0.28787166;0.326355104;1.0;0.087891019
P0A8A8;P07017;0.239478064;0.270003767;0.071615563;0.077518142;0.0;0.022011809
P00550;P23367;0.10160751;0.130819945;0.01165528;0.013508606000000001;0.0;0.01483078
P0A6Z3;P0AFB5;0.19961478600000002;0.293477744;0.069074092;0.08985267599999999;0.25;0.019433685
P0AEJ4;P39838;0.435010568;0.514977123;0.41240306;0.41490352;0.2;0.016360376
P42588;P36680;0.208222469;0.38246246799999994;0.054911523;0.07900064700000001;0.0;0.022883636000000002
P04693;P09053;0.49699927899999996;0.622808946;0.21832785300000002;0.224320278;1.0;0.023356572000000003
P52106;P0ACZ4;0.298085622;0.343363498;0.311971235;0.290591382;0.5;0.10099865
P75949;P25746;0.126217029;0.178323653;0.036992251000000004;0.043868646;0.0;0.025790852000000003
P0AC33;P76473;0.148641121;0.190188873;0.037980312999999995;0.041641277000000004;0.0;0.014673405
P16678;P77499;0.19464256800000002;0.238139305;0.10387248;0.113037258;1.0;0.113111246
P33931;P33916;0.316805295;0.454188031;0.216262763;0.22491709;0.5;0.075027876
P06611;P22731;0.41894816100000004;0.520110114;0.288423869;0.323127299;1.0;0.12361419400000001
P0AAG0;P0AAF3;0.34313258799999996;0.47064603299999996;0.18033202399999998;0.18980252;0.5;0.065461916
P0AE16;P11551;0.378524729;0.48535303799999996;0.27189077100000003;0.282171719;1.0;0.020727628999999997
P0AAG8;P04983;0.487364055;0.588079859;0.513323437;0.535282671;1.0;0.42958195
P0A6Z3;P30844;0.200984457;0.24093571600000002;0.035486621;0.037405733999999996;0.333333333;0.022891445
P23886;P0AAI1;0.35764997600000004;0.40797461799999996;0.152521029;0.150523152;0.5;0.10288436699999999
P33602;P19319;0.41830614200000005;0.5347061670000001;0.275807824;0.268637113;0.4;0.008385601
P06129;P17315;0.273432984;0.30809202199999997;0.079290591;0.082283414;1.0;0.125175208
P27302;P69739;0.269366575;0.339092647;0.048205372999999996;0.05397321099999999;0.0;0.01767196
P77737;P69874;0.37365921;0.5696125879999999;0.291422852;0.337125571;0.333333333;0.17168258399999997
P0A8N3;P21889;0.45064828100000004;0.614395991;0.527629923;0.532574136;0.666666667;0.083976211
P30958;P60240;0.419297751;0.45871972899999996;0.362656495;0.359762831;0.111111111;0.009557826
P0AEI4;P33650;0.159791416;0.21168055100000002;0.023628273999999998;0.027093055;0.0;0.015137981000000002
Q47539;P0AFA9;0.367592486;0.5461067829999999;0.198794175;0.23165574600000002;1.0;0.024048911
P23877;P15030;0.506385145;0.764449492;0.7653637040000001;0.7749719070000001;1.0;0.163179336
P0AF28;P0ACZ4;0.353156905;0.498157465;0.547434016;0.544671579;1.0;0.193185772
P33931;P07821;0.34205601399999996;0.431108648;0.211515022;0.20295303399999998;1.0;0.128631646
P0AAH4;P0A9V1;0.40049924200000003;0.531439003;0.387500581;0.42573725100000004;0.333333333;0.11061554300000001
P0AAG8;P37313;0.398460401;0.493384393;0.335288579;0.364750908;0.5;0.069596717
P0AAF3;P77737;0.283439345;0.419124825;0.104402396;0.115094904;0.5;0.077476305
P0AGD3;P77335;0.144758928;0.192097541;0.027111907;0.033888733;0.0;0.032033848999999996
P0A8N3;P0A8N5;0.532382708;0.7058836279999999;0.691062087;0.63982071;1.0;0.9043364420000001
P32170;P02918;0.214866848;0.26667266;0.040216452;0.044124751;0.0;0.016414057
P77239;P75830;0.199073835;0.247110009;0.048221229000000004;0.052417065;0.5;0.026550637000000002
P37624;P68187;0.19883536300000001;0.263953622;0.030452639;0.037195821000000004;0.5;0.079061563
P36995;P71241;0.11345386800000001;0.158711808;0.026357805;0.032559739;0.0;0.041743641
P33225;P0AFV4;0.203194248;0.25834581100000004;0.068805545;0.072701732;0.0;0.014947006
P0AFF6;P05055;0.19324970800000002;0.324290643;0.031125602999999998;0.047272159;0.14285714300000002;0.013606873
P37355;P19319;0.163629413;0.210917627;0.050218930999999994;0.053995347;0.0;0.013566253
P0AAG0;P32721;0.42419437299999996;0.62300197;0.41139874;0.458450759;0.5;0.06796324599999999
