Uniprot ID1;Uniprot ID2;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Pfam);Sim(Seq)
Q8N413;A4D1P6;0.139146136;0.311403327;0.040184271;0.063146725;0.0;0.014121905
Q8WXR4;Q9P2K8;0.20684667199999998;0.37683627;0.095648249;0.128074968;0.166666667;0.019423828
P16298;P36873;0.22941435699999999;0.434836247;0.117059637;0.13296165699999998;0.5;0.252936777
O75494;Q96IC2;0.155893127;0.371535739;0.131002525;0.162179203;0.5;0.029845866000000002
Q6GMV2;O43463;0.215430344;0.364728651;0.04296546;0.051741077999999996;0.333333333;0.025441766
Q9Y243;Q96Q40;0.22013464100000002;0.499866008;0.300588848;0.37526144100000003;0.333333333;0.08718868099999999
Q9NZW5;Q13884;0.12147971099999999;0.399536829;0.065860335;0.117240077;0.166666667;0.026504092000000003
Q8NGV0;Q8NGJ2;0.351366439;0.762173875;1.0;1.0;1.0;0.22533534800000002
Q04756;O14610;0.09706508900000001;0.241337973;0.030345194;0.039294117;0.0;0.018262636999999998
P98161;Q9HCJ2;0.138747796;0.313066563;0.024400357999999997;0.034296083;0.111111111;0.009746562
Q9BYV9;Q9UBF8;0.11980815;0.334701603;0.044400222;0.06702970700000001;0.0;0.010337026
Q6UXN9;P57775;0.18975207300000002;0.34633036899999997;0.117530963;0.137953877;0.5;0.034296784
Q9Y330;Q8NDX6;0.2595741;0.5766281529999999;0.33849633700000004;0.360663494;0.5;0.08667236199999999
P42229;Q9HBL0;0.098523134;0.25613152899999997;0.024566151;0.041896685;0.166666667;0.010624192
A8K8V0;Q8N8Y5;0.223600505;0.51919101;0.6312062829999999;0.682709572;0.5;0.182995646
A6NMS3;Q8NGK6;0.31321652899999997;0.681212965;0.660483642;0.697480071;1.0;0.232336884
P01589;Q92496;0.171344387;0.26408876;0.026017217000000002;0.030881079;1.0;0.021000011000000002
Q8NH37;Q96R30;0.351366439;0.762173875;1.0;1.0;1.0;0.323235744
Q96J87;Q9UPS6;0.164305844;0.35367703799999994;0.086483003;0.125893022;0.333333333;0.011269208999999999
P55283;Q9Y6H3;0.141218922;0.339168378;0.042466643;0.069425527;0.0;0.015016365
P0DP04;Q9NRM1;0.09624155300000001;0.216895758;0.019840228;0.033157986;0.0;0.01616164
Q86UW9;Q9H0J9;0.17437055;0.36392818600000004;0.253851847;0.265906492;0.2;0.017862018
Q8NGC0;Q8NGN8;0.31321652899999997;0.681212965;0.660483642;0.697480071;1.0;0.33934351
Q8NGW6;Q96R45;0.351366439;0.762173875;1.0;1.0;1.0;0.266980332
Q13347;Q6PJI9;0.115495705;0.265109661;0.025669666;0.04416415;1.0;0.027704796
Q86Y25;Q7Z7K2;0.204011325;0.48149958600000003;0.735760437;0.66064715;0.5;0.227106416
Q14585;Q32M78;0.205417782;0.488470061;0.297967283;0.385263575;0.5;0.43301341600000004
A0A0U1RQI7;Q9C0K0;0.18840105899999998;0.438743891;0.111539208;0.168224861;1.0;0.027535933
Q9UL62;Q01118;0.260504539;0.42593892299999997;0.167783994;0.17107074;0.25;0.009182054
O95997;Q96RD2;0.093478764;0.217307978;0.013216125;0.018859676000000002;0.0;0.025502632999999997
P51692;Q9UN19;0.129613055;0.317484469;0.014650922;0.023334654;0.2;0.021109452999999997
Q02156;P47712;0.19163585800000002;0.369338189;0.035269455;0.053672472;0.2;0.011430913999999999
P78385;P07196;0.167628209;0.35159924;0.030076215;0.043278149;0.333333333;0.18537978800000002
Q14587;Q8TA94;0.197562987;0.45983274;0.191761305;0.24702282600000003;1.0;0.217850555
Q6P9H4;Q8WZ64;0.16366555900000002;0.336051484;0.065950052;0.077664523;0.125;0.010021145
Q8NGU4;Q6IEU7;0.31321652899999997;0.681212965;0.660483642;0.697480071;1.0;0.32123921
P29317;Q01973;0.272747318;0.47986495700000004;0.160022574;0.195196192;0.125;0.09985861
Q8N205;P42685;0.12097689800000001;0.300681646;0.021908041;0.028891322999999997;0.0;0.015716726
Q5JT82;A6NP11;0.21442853399999998;0.530544563;0.6814013240000001;0.695350111;0.5;0.082416232
Q5TAQ9;Q5T5C0;0.128249469;0.37519749700000005;0.034866963;0.06875373;0.333333333;0.010719844
Q96P47;Q86U10;0.155123049;0.267986527;0.051608615;0.053745883;0.2;0.022904326000000003
P05783;Q9NVI7;0.15116548900000001;0.33904874799999996;0.099614428;0.111799945;0.0;0.015944565
Q9NR11;Q8WZ75;0.099764509;0.282812083;0.053365845999999995;0.08115088;0.0;0.014046101
Q96J92;P80192;0.204237907;0.379677411;0.13738130099999998;0.176401787;0.333333333;0.042344215
O95983;Q9UIF9;0.272767308;0.428628351;0.26283602899999997;0.27794079;0.125;0.014061508
Q9HC98;Q8TAS1;0.236700968;0.501697226;0.217545319;0.266623555;0.5;0.054056969
P52747;P59923;0.233657179;0.54859061;0.231057975;0.289980112;0.333333333;0.06631748
P22455;Q08881;0.217205347;0.41691757100000004;0.189829815;0.22273798600000003;0.166666667;0.11158366
Q9Y5W3;Q8N9Z0;0.18094627100000002;0.419280714;0.086147066;0.128161545;0.5;0.08456375199999999
O75820;Q9HBT7;0.267923903;0.621647408;0.38840927299999994;0.47017303899999996;0.666666667;0.362603136
Q15375;P35968;0.278756375;0.471176286;0.183105465;0.211847003;0.111111111;0.054381665
O75044;P46109;0.221906107;0.43525967200000004;0.078737856;0.09234709599999999;0.2;0.030945965
Q6IAN0;Q02338;0.196317488;0.33277794899999996;0.087953241;0.099730488;1.0;0.13709480599999999
P19022;Q9Y5I2;0.232130222;0.476867717;0.050646007;0.069308508;0.2;0.057790729000000006
P51451;Q15375;0.23542710000000003;0.408987937;0.150493897;0.17955172;0.125;0.132990393
Q8NAU1;Q16473;0.081760308;0.253130268;0.034736699999999995;0.06440195900000001;0.5;0.039367285
Q9P1P4;Q96G91;0.23542661399999998;0.49179467;0.109684257;0.162048454;1.0;0.040603919
Q86U44;O60701;0.181301035;0.351937461;0.043748660999999994;0.06434029299999999;0.0;0.014482752
Q92783;Q92796;0.206204759;0.40413453299999996;0.08484693300000001;0.10430696699999999;0.166666667;0.031120209
Q6ZMJ2;Q2UY09;0.083737304;0.216441452;0.017953353000000002;0.025897033;0.25;0.036939116
D6RBM5;P40818;0.278995678;0.549973531;0.205041046;0.224866111;0.333333333;0.031448986
Q8NHH1;Q6ZT98;0.35511274;0.629032473;0.539141887;0.600584156;1.0;0.120147016
Q15389;O60504;0.21256109399999998;0.385172939;0.105032352;0.11965069800000001;0.0;0.013383398000000001
O95136;Q7L099;0.160739249;0.33879586100000003;0.056675269;0.06458969099999999;0.0;0.019519146
Q9HAZ2;Q9P2J8;0.170004944;0.411632052;0.10384742;0.15196706199999999;0.5;0.057126755999999994
Q6P9A1;Q6NUN9;0.23433711899999998;0.539872431;0.432594945;0.44973978700000006;0.666666667;0.08749946
P08575;P08922;0.252011031;0.433460467;0.063523145;0.07841366400000001;0.2;0.007332506999999999
Q68DY1;Q5JNZ3;0.250511921;0.60358543;1.0;1.0;1.0;0.36337394700000003
Q9UL54;P43250;0.22105736899999998;0.43633322799999996;0.12914402;0.15716693199999998;0.5;0.031209873
Q643R3;P28356;0.093991821;0.202756262;0.030072775;0.038249367;0.0;0.017646656
Q8NFD2;Q9Y5S1;0.083663017;0.23831149100000001;0.017253213;0.031014022000000002;0.2;0.020362084
Q6UX01;Q6XQN6;0.129353358;0.28636241;0.040527372;0.052344960999999995;0.0;0.015203329
Q9UMN6;Q15910;0.298008004;0.485502095;0.184323205;0.199513973;0.125;0.028338602
Q9NUA8;Q9UK11;0.17055835600000002;0.44399182299999995;0.258825345;0.380512476;0.333333333;0.07231051299999999
Q9Y5Z0;Q96C24;0.17071608800000002;0.361986009;0.060493748;0.08751575699999999;0.0;0.017795087
Q9H4Q3;P08151;0.22726818899999998;0.451395827;0.179792958;0.230129837;1.0;0.032175388
Q8NI38;Q92882;0.124227202;0.27160862399999997;0.017562493999999998;0.027848607999999997;0.5;0.072281974
P31213;Q9NSA1;0.109361809;0.204684165;0.017859861;0.021895769;0.0;0.041378628
Q99684;Q8N7K0;0.188433013;0.444494689;0.084966245;0.131664883;0.5;0.12615684900000002
Q9NQW5;Q08AG5;0.189428772;0.441500713;0.12394404;0.18060588100000002;0.333333333;0.027037155
O60304;Q8NEM1;0.19282131;0.456160891;0.736502153;0.64053078;0.666666667;0.161508172
O95013;Q8NGG3;0.311342584;0.6781551459999999;0.351118076;0.421487135;1.0;0.30080053100000004
Q03112;Q9Y467;0.20319616699999998;0.43742143200000005;0.254900268;0.307887666;1.0;0.027061956
P01568;Q9UPG8;0.121677865;0.249199948;0.05907785;0.066576072;0.0;0.019604194
P02790;P08254;0.188275435;0.380045467;0.056973283;0.079993846;0.333333333;0.06272140400000001
Q8WTR7;Q8N720;0.13730402;0.355109367;0.08637259900000001;0.129633274;0.5;0.153700807
Q8NGR2;O95918;0.321643437;0.690368013;0.697885593;0.776040182;1.0;0.39826079200000003
Q5JQS5;A6NMU1;0.351366439;0.762173875;1.0;1.0;1.0;0.161746588
Q9P0J1;Q9Y6C2;0.131662132;0.286155873;0.030639278;0.043895598;0.0;0.01060176
Q9NWS8;Q03052;0.141282494;0.33705067200000005;0.176391556;0.209104997;0.0;0.017016737
Q8N8Q9;P06737;0.10907729099999999;0.26927276;0.020341696;0.03164515;0.0;0.012658725
O14627;Q04743;0.293324883;0.524443614;0.43408388299999995;0.49707001;0.5;0.097947445
P33552;Q99759;0.139815303;0.283394214;0.13820191;0.147836534;0.0;0.020432026000000002
Q01851;Q01826;0.24351779399999998;0.465882659;0.153523611;0.199353666;0.2;0.024246477000000002
P28827;P29317;0.28850678399999996;0.483138122;0.150565805;0.169570442;0.125;0.008849401
Q86VF2;O75325;0.067301577;0.219426962;0.04348476;0.066684571;0.25;0.017041255
Q8N127;Q8NG98;0.31321652899999997;0.681212965;0.660483642;0.697480071;1.0;0.359901249
P17948;P10398;0.231555946;0.447817429;0.207644014;0.24411766899999998;0.166666667;0.036534629
P01780;Q96GW7;0.09541561400000001;0.244273441;0.01631539;0.027098683;0.2;0.012944728999999999
Q6P1L6;P98168;0.20306133;0.511819472;0.49687171700000005;0.563884756;0.5;0.092037773
P17031;Q96H40;0.212506117;0.5335895589999999;0.70718451;0.6811909759999999;1.0;0.33969930200000004
P20849;Q9BXJ1;0.143201681;0.316707849;0.023518864;0.036026964;0.5;0.030523674
Q9Y4G2;Q8N2Y8;0.08976347300000001;0.279377612;0.028089051;0.055219261;0.333333333;0.007501796
P41182;P10073;0.18898035;0.42726954100000003;0.045987024;0.075091333;0.333333333;0.125905008
P14652;P26367;0.277654777;0.49664511100000003;0.17858101399999998;0.22715058100000002;0.5;0.065573033
A6NNF4;Q96K58;0.231124606;0.55908676;0.355909166;0.408429555;0.5;0.262182146
Q9Y2M5;Q5U4P2;0.125943764;0.259670147;0.07287982900000001;0.07868480900000001;0.0;0.015874288
Q8NGR4;Q8NH63;0.31321652899999997;0.681212965;0.660483642;0.697480071;1.0;0.166699036
P78504;Q9Y5W5;0.252978258;0.432887122;0.067146212;0.080904856;0.166666667;0.04786292
Q9BXB1;P32745;0.268541183;0.45186328299999995;0.098127775;0.123955878;0.333333333;0.019587056000000002
Q6ZWE6;Q86WV1;0.116154625;0.362390692;0.015985646000000003;0.0328051;0.333333333;0.023939265
Q15078;Q9BW92;0.12238554900000001;0.270688857;0.012649828;0.017726383999999998;0.0;0.015700282
Q3MII6;Q8NE09;0.113142354;0.31238309999999997;0.054901341;0.09772927599999999;0.0;0.009289526
A0A0C4DH29;P01699;0.310822782;0.514815514;0.263433817;0.270252708;1.0;0.17689311300000002
Q96P20;O14862;0.380242552;0.610125433;0.31031706;0.332288089;0.14285714300000002;0.019281074
P61587;O95057;0.262268047;0.537476446;0.308461358;0.353864385;1.0;0.11599961
P13497;Q96PD2;0.099214205;0.252772958;0.032408884;0.046978806;0.2;0.038668427000000005
Q9C026;P16415;0.12658853;0.356340624;0.038000497;0.06709469;0.0;0.016268279
P11362;P04626;0.313020209;0.531609839;0.21192553600000003;0.258112843;0.14285714300000002;0.08555443
O95678;P12830;0.107426095;0.284473783;0.023354122999999997;0.039704026;0.0;0.012735143
Q8N1K5;Q15118;0.11469726599999999;0.282852467;0.0388872;0.066982969;0.0;0.018144166
O60240;Q9P2E5;0.08933261199999999;0.246406259;0.026467077999999998;0.041090413;0.0;0.015906793
Q13227;O60296;0.162982344;0.336110455;0.071629428;0.092105689;0.0;0.012789904
Q99500;Q9HC84;0.129701171;0.33776352600000004;0.035873463;0.058676607;0.0;0.003194696
Q8WXT5;Q9UJU5;0.29082683600000003;0.557930747;0.332461616;0.373074095;1.0;0.20571017600000002
