Uniprot ID1;Uniprot ID2;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Pfam);Sim(Seq)
P38842;P36142;0.211376208;0.393379475;0.624637434;0.646165558;0;0.022713279
Q03516;Q01939;0.107093939;0.191558603;0.014703092;0.0243868;0;0.012439776
P32831;P32492;0.187955438;0.308778318;0.046281353;0.061885184;0;0.007563467
P16603;P47037;0.20116924;0.32893014;0.092644799;0.115632152;0;0.010459869
P53166;P32445;0.223717732;0.371513903;0.076801368;0.100601314;0;0.018960828
P32527;P06100;0.298021066;0.41212108;0.207911752;0.216535255;0;0.020880918
P53070;P36087;0.248769577;0.41759552;0.090426776;0.137536292;0;0.019027449
Q12480;Q03081;0.147470934;0.264862813;0.044390274;0.068610357;0;0.029043782
Q07845;P32500;0.133132705;0.207721204;0.017336146;0.021192067;0;0.013565496
P53166;Q00453;0.179265705;0.31194632;0.059267247;0.079280906;0;0.021347662
P48237;Q12508;0.188302995;0.303954664;0.06588352;0.086448362;0;0.014759263
Q03088;P11484;0.167842128;0.267727765;0.0307318;0.033694042;0;0.011318112
P43595;P38623;0.103116947;0.172374494;0.013095235;0.017447766;0;0.018583522
P0CF17;Q12104;0.11965846;0.223583865;0.023883212;0.038805629;0;0.013417751
P36166;P38622;0.183010256;0.291709754;0.038797888;0.046794253;0;0.013858804
Q08991;P54787;0.17825581;0.252397971;0.03486183;0.037076286;0;0.022327411
P40957;P40529;0.192947549;0.290236828;0.044038931;0.058811838;0;0.01545342
P10662;P00815;0.245818202;0.351263034;0.104300648;0.107084337;0;0.014679072
Q12477;P25376;0.098970946;0.16347697;0.008447228;0.012725431;0;0.018294107
Q02630;P40025;0.096837941;0.146046698;0.007211521;0.009744075;0;0.011841325
P39928;P53687;0.28404135;0.389651245;0.134523474;0.141690586;0;0.012133477
P25491;Q12362;0.168202703;0.256841307;0.042916298;0.051593739;0;0.015253656
P53233;P40104;0.086151824;0.140362791;0.016394248;0.018240015;0;0.038420364
Q12523;P46972;0.100103889;0.166820366;0.020785462;0.027583967;0;0.019170532
P40559;P10659;0.202498932;0.300001826;0.052987813;0.061195778;0;0.016028085
P16861;P34110;0.235362081;0.344015649;0.048966342;0.064260288;0;0.00849947
P05750;P46655;0.21319467;0.319345197;0.078895817;0.091568241;0;0.017814491
P11433;P06787;0.358628735;0.521810825;0.143588133;0.163570285;0;0.018178491
Q04670;P33324;0.203399519;0.355811231;0.070164737;0.097968301;0;0.009178483
P14907;P25333;0.194770658;0.27462996;0.05247354;0.054666214;0;0.01475782
Q04545;P11491;0.181208937;0.276543116;0.047167647;0.058783256;0;0.010948926
Q07807;P13574;0.20225899;0.272506664;0.130821565;0.130448553;0;0.010620729
P54784;P18900;0.198178907;0.323587854;0.046186018;0.063522226;0;0.012936941
P38877;P17555;0.197802395;0.298285117;0.037099397;0.051884871;0;0.025328376
P53909;P38196;0.103195898;0.187289445;0.023686974;0.04279305;0;0.015750751
P16474;Q03455;0.216276058;0.345180956;0.03988694;0.052977052;0;0.011930438
Q05790;Q04121;0.121667663;0.22104261;0.02018724;0.033953198;0;0.014199239
Q05948;P53152;0.202756367;0.348611175;0.084731031;0.095802908;0;0.034187102
Q06494;P37020;0.131109013;0.247499858;0.018674494;0.032868877;0;0.01724369
P03875;Q6Q560;0.198743417;0.332277873;0.088624117;0.127838638;0;0.0172407
P12688;P38703;0.190773226;0.262287294;0.039574635;0.0442969;0;0.014331889
P16474;P41948;0.167080114;0.239392862;0.027956092;0.029697045;0;0.016899321
Q03835;Q08412;0.168042011;0.2477526;0.020941566;0.026449816;0;0.02599436
P53188;Q03558;0.174613415;0.318292766;0.09118249;0.127175493;0;0.024131813
P31539;P53935;0.243244784;0.373593828;0.053560688;0.05957337;0;0.008463028
Q12040;P25359;0.178305486;0.307045951;0.027976251;0.040831648;0;0.023380759
P32610;P38735;0.279547594;0.400500334;0.150053153;0.157392757;0;0.0085815
P47037;Q07938;0.200565718;0.314090415;0.06663656;0.086355059;0;0.016456115
Q06053;P02829;0.190536577;0.313832362;0.058658909;0.072213763;0;0.012145185
Q12033;Q12154;0.18618943;0.279217107;0.045186329;0.056839054;0;0.015487616
P40160;Q07655;0.209794556;0.335926653;0.033854566;0.04204677;0;0.016090942
Q04636;O13527;0.22147135;0.312424767;0.112465405;0.117205822;0;0.010214796
Q06525;P32854;0.189860503;0.304076443;0.048989533;0.065439936;0;0.019644019
Q08902;Q03280;0.153640765;0.218338708;0.029964311;0.031068174;0;0.005055894
Q03944;Q03036;0.16201159;0.327910756;0.054426157;0.086420487;0;0.022419319
P25366;P32332;0.092940149;0.153694285;0.010127009;0.015236864;0;0.021868119
P53965;P38713;0.172497139;0.287728302;0.035897236;0.049970703;0;0.015463865
P47040;P40968;0.117157276;0.184387198;0.016818889;0.021838268;0;0.017274181
P07275;Q06593;0.137027163;0.23844912;0.024525637;0.041629835;0;0.011517318
P40474;P25608;0.080176135;0.124085714;0.010525581;0.015407143;0;0.018219572
P25362;Q03697;0.111314296;0.189482253;0.014435138;0.021234711;0;0.025693792
P39548;P0CX80;0.114377698;0.189118816;0.021886461;0.026888352;0;0.051449518
Q08831;Q02863;0.170136272;0.277128096;0.065890276;0.078861783;0;0.017061525
P38261;P47912;0.190846696;0.290566314;0.038864266;0.046876204;0;0.013985655
P39709;P53965;0.099645263;0.166499699;0.009746529;0.014981556;0;0.015372409
P38696;P40344;0.224608739;0.334039394;0.054704678;0.064339549;0;0.025497779
Q99316;P32379;0.178050093;0.274802216;0.066782169;0.089518785;0;0.028566411
P47047;P25351;0.12444828;0.186627361;0.009632862;0.011246429;0;0.010370651
P35172;P53599;0.189659898;0.322756165;0.027386335;0.036779089;0;0.008478167
P36775;Q07786;0.153842753;0.217283207;0.02910694;0.032025975;0;0.012838808
P25502;P32525;0.181698697;0.244893032;0.03053522;0.033317728;0;0.013676965
P10127;P40550;0.141260797;0.228081529;0.029643644;0.036930031;0;0.010745156
P32528;P38771;0.233386242;0.321764121;0.070684711;0.074439313;0;0.00853649
P47144;Q08485;0.196490582;0.283100159;0.071265681;0.089569696;0;0.013503205
Q12114;P40446;0.168457624;0.222492648;0.036805242;0.038196417;0;0.018357798
Q06143;Q99190;0.157155148;0.291313546;0.055848396;0.096572721;0;0.02574485
P53309;P35842;0.130138275;0.219922531;0.016935655;0.021462198;0;0.013825913
P07264;Q03833;0.221486276;0.363304113;0.053623805;0.071785693;0;0.010748135
P40355;P38892;0.114107456;0.169071789;0.039214817;0.047890436;0;0.012770432
P36149;Q02891;0.136783419;0.199225606;0.027365663;0.028313509;0;0.019341614
P32558;P37291;0.195213064;0.266740783;0.042215283;0.04457218;0;0.012905397
Q08974;P25354;0.173383632;0.300251758;0.147447376;0.147034763;0;0.032685622
P38629;P15873;0.317740434;0.436950492;0.16410222;0.179371128;0;0.028467387
Q08548;P40917;0.113040416;0.213744991;0.038505745;0.06533029;0;0.017849748
P53970;Q04670;0.256835258;0.38570241;0.077039739;0.07889879;0;0.008929259
Q07657;P36166;0.24307326;0.382091966;0.060567015;0.074309694;0;0.015442454
Q12172;P48837;0.12135373;0.192135122;0.014260176;0.017824748;0;0.013297017
P53062;Q12273;0.119238296;0.207606264;0.029200776;0.042572602;0;0.008085204
P42944;P47159;0.195804927;0.300563384;0.035592147;0.042791399;0;0.018553625
Q12052;P32381;0.215487993;0.27642554;0.046940002;0.045607937;0;0.024365012
P43639;P36017;0.142882642;0.1994626;0.017617097;0.018833303;0;0.028576832
P57744;Q04301;0.264206118;0.354922728;0.068154592;0.071409593;0;0.024942302
P53727;P32623;0.192760144;0.273470053;0.05385364;0.059109066;0;0.022907347
P38219;P53224;0.132243986;0.211729827;0.012320336;0.01645596;0;0.026604643
P38070;P40343;0.168448602;0.260671216;0.034108831;0.045035395;0;0.016472662
Q04471;P47001;0.142019811;0.271801116;0.072300015;0.095627318;0;0.022101132
Q07793;Q05979;0.279590764;0.410729694;0.113334326;0.137230694;0;0.009545555
P32896;P22035;0.322125665;0.462533217;0.465256407;0.503081165;0;0.011993443
P33203;Q04066;0.150963084;0.213061716;0.043274359;0.046800568;0;0.019422997
P32464;P40955;0.147857191;0.227892255;0.054449053;0.062142491;0;0.017240865
P53850;P38430;0.088284856;0.142605873;0.021404669;0.026275345;0;0.024903488
O13535;P53954;0.207293163;0.284034941;0.072367834;0.068957783;0;0.009290985
P19657;P39076;0.190588545;0.364157112;0.165986489;0.222910104;0;0.011264051
P36086;P07278;0.129716426;0.226126179;0.010360647;0.016535426;0;0.02452669
P32493;P32341;0.145990699;0.259913199;0.054105788;0.08544556;0;0.030074304
P46943;P19145;0.17399884;0.298584387;0.044856394;0.059793047;0;0.01235703
P53940;P39000;0.243215651;0.35431854;0.133862881;0.131419596;0;0.016038411
P40889;Q12094;0.122684377;0.182847083;0.022320693;0.022500866;0;0.008125742
P48565;P25635;0.125644006;0.194048928;0.01879452;0.025751836;0;0.012143683
P43545;Q12447;0.121245609;0.166243827;0.00791155;0.010993773;0;0.024673154
P54113;P32774;0.174338741;0.249233784;0.085647262;0.090794155;0;0.025033383
P47075;P38358;0.252468519;0.442837599;0.137005592;0.191391062;0;0.015053507
