Uniprot ID1;Uniprot ID2;Interaction;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Seq)
Q24008;P19334;1;0.40719336;0.540855558;0.18056560600000002;0.18957239899999997;0.010039894
P82804;Q9VXN4;0;0.226993864;0.38258103;0.130659158;0.14708159;0.023763081000000002
Q9V3H2;Q7K148;1;0.334305923;0.5262960720000001;0.362187508;0.36942805;0.025618587
P40427;Q9VVG4;0;0.120116289;0.19358757699999998;0.017641253;0.02382222;0.015758127
Q9V9W3;O61231;1;0.525760875;0.8200330690000001;0.8662851;0.83727655;0.026796168999999998
Q94533;Q9VWN3;0;0.13218249199999998;0.216813741;0.015793327;0.021258142;0.016564427
P25008;P08970;0;0.19996013199999998;0.317516271;0.187991728;0.207472467;0.013024102
Q9VMH2;Q9VKJ4;0;0.15818549099999998;0.26192671;0.030885008999999998;0.045366232;0.047511329000000005
P53034;Q9U9Q1;1;0.560356864;0.672733445;0.532430347;0.49386237;0.133639512
O61443;Q9VQB6;0;0.18624527100000002;0.29307678600000003;0.078504556;0.087507167;0.012184915
Q9VU86;Q24008;0;0.12099123099999999;0.18433263100000002;0.021002727000000002;0.025672257999999996;0.006981731999999999
Q9VIZ0;A0AQH0;0;0.206644971;0.291145152;0.066350047;0.069050577;0.03395401
Q9VIP4;P24785;0;0.284533076;0.41578858;0.124675248;0.152496055;0.0075479380000000006
Q9VYG2;P25439;1;0.37634062799999995;0.49052766299999995;0.275342801;0.27487894;0.009324147
P22769;Q9XYN7;1;0.514617904;0.79312241;0.913216135;0.9239736679999999;0.053375610999999996
O02195;P20241;0;0.140501115;0.227594847;0.021300613;0.024913716000000002;0.013589523000000001
Q9W1S5;Q9XYN7;1;0.48268004;0.706353604;0.706516536;0.7155896270000001;0.026031091
Q9VRV7;Q9VPR5;1;0.508303179;0.7419766090000001;0.542354439;0.582113155;0.011452766000000001
Q9VK14;P40301;1;0.401448564;0.6039153979999999;0.38433725799999996;0.43124590799999996;0.20847362600000002
Q9VT57;P25008;1;0.44925308700000005;0.596325982;0.365750123;0.358639087;0.021208376
Q9VD52;P41375;0;0.287405209;0.397850419;0.089587414;0.10301010199999999;0.017939009
P14003;P16371;1;0.280054545;0.396037774;0.25785038899999996;0.271366297;0.015754618
P16554;P35122;0;0.11698579199999999;0.21219906600000002;0.008804458000000001;0.015155159;0.018065066
P49630;Q9W0A8;1;0.509376471;0.81997337;0.7477513579999999;0.7527744059999999;0.046523459
Q9VNE9;Q9VW54;0;0.20080223100000003;0.300234817;0.103418717;0.107432288;0.020907815
Q9VIH1;Q9VB23;0;0.16382670400000002;0.271443203;0.05163059;0.074249835;0.018800395
Q9V9T4;Q24368;1;0.48617665299999996;0.614266043;0.362848515;0.364557188;0.008348886
Q9XZ58;Q9V4S8;1;0.503501017;0.681305645;0.254732578;0.283201002;0.028671709
Q9VGE2;Q9U3Z7;0;0.236924463;0.328271433;0.132582086;0.13443665800000001;0.029999467999999998
Q9VJE5;Q9W0I7;0;0.12769076099999999;0.21504417399999998;0.016336753;0.023231312;0.011314926999999999
Q9XTN2;A1ZA03;0;0.14277947400000002;0.22612466899999997;0.02334567;0.025416677999999998;0.014026826000000001
Q24040;Q24039;1;0.510988959;0.7151521670000001;0.891227627;0.8846986859999999;0.603613521
Q9VZP5;Q9V3D9;0;0.262006525;0.48160853;0.30183630300000003;0.374241673;0.010120541
Q9VTW6;Q9VRT7;1;0.5337651729999999;0.709975742;0.506781445;0.48008205;0.14598107300000002
Q24106;Q24306;1;0.380033116;0.469989064;0.157879989;0.159242482;0.017450279
Q24368;Q07DP5;1;0.298775116;0.43287528;0.245165902;0.255937962;0.006854125
P08044;O46036;1;0.34420223200000005;0.47738519700000004;0.289520095;0.302106563;0.022354928
Q9VB23;Q7KN94;0;0.14425064;0.212519796;0.047804164;0.060464875;0.019219036000000002
Q9V3J4;Q9XTN2;0;0.223628875;0.32767274399999996;0.067701179;0.070125835;0.011385369
Q9VCH5;O96660;0;0.24712298;0.342378081;0.12204508800000001;0.135437108;0.009063881999999999
Q9V3D9;Q9VWG3;0;0.164693914;0.28255004300000003;0.028084271;0.034585868;0.024116843
