Uniprot ID1;Uniprot ID2;Interaction;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Seq)
P21865;P30130;0;0.182639062;0.245527695;0.038791901000000004;0.048514474;0.011670787
P0A9V1;P0ABS5;0;0.18712352899999998;0.25587313;0.029839217;0.035362401;0.018920368
P0A850;P60624;1;0.156883527;0.281811085;0.043637127000000005;0.06436359400000001;0.031077256
P0A877;P0AF28;0;0.147598043;0.285056035;0.022493466;0.039757911;0.031911944
P0A6H5;P19934;0;0.221534048;0.267855234;0.042666881;0.046177279;0.018408043
P0A7V0;P0A7L0;1;0.427893064;0.563825115;0.249956378;0.255115675;0.031134105
P0A903;P0A698;0;0.23521472100000002;0.36177431600000004;0.082074908;0.105441585;0.012264708999999999
P0A9Z1;P02359;0;0.24616453600000002;0.346685044;0.104237452;0.11131712199999999;0.050185148
P0A7V0;P0A7W1;1;0.47084207100000003;0.670196375;0.6350011720000001;0.602179389;0.035152277
P08142;P21865;0;0.213930727;0.246679158;0.060701236;0.063920006;0.013989326000000002
P0A7H0;P0AF98;0;0.121327225;0.167689767;0.020109934;0.025407122999999997;0.025562066
P0AC02;P23367;0;0.18671692199999998;0.219018684;0.034576826;0.038455623;0.017943028
P16926;P0A7N4;0;0.17188507600000003;0.227271229;0.052855487;0.059785810999999994;0.036938239
P0A7V0;P0A7V8;1;0.41024330200000003;0.577842499;0.227377448;0.24743334399999997;0.036028924
P0AB71;P0A879;0;0.360192639;0.588938721;0.133647252;0.151458702;0.025019197000000003
P39177;P0A6F5;1;0.162225079;0.20571994899999999;0.030294893;0.034720913;0.027922218
P10408;P0AGA2;1;0.479317094;0.617438746;0.46133504700000005;0.47257920200000003;0.012461783
P0A7L0;P0A7K2;1;0.29083255399999997;0.481219981;0.119889995;0.157136572;0.042657013
P06609;P0ACD4;0;0.21392887600000002;0.350667219;0.061358444000000005;0.078882496;0.037927211
P13024;P32176;1;0.21667112;0.34911156200000004;0.079961411;0.103759058;0.014213816
P0AD61;P39453;0;0.328676202;0.43171779899999996;0.125770468;0.13461044;0.0151124
P0ABV2;P0ABU7;1;0.5213425770000001;0.744247641;0.267016412;0.319813845;0.034566944
P33225;P0A7J7;0;0.178127493;0.229147606;0.035276247999999996;0.03974048;0.016830912
P69791;P69795;1;0.569871583;0.7807320170000001;0.7430279559999999;0.750324366;0.061572024
P27434;P0A6F9;0;0.15807619;0.20467643100000002;0.054703750999999995;0.064463857;0.032639653
P10121;P0A6F3;0;0.201914493;0.32575240000000005;0.034777115;0.04996894;0.015995306
P0A7V3;P0A7R5;1;0.271913155;0.47746966700000004;0.18026446899999998;0.225167378;0.035146966
P06136;P25714;1;0.261711886;0.407063059;0.21214555699999998;0.26515800100000003;0.021313317000000002
P0A8F8;P0A698;1;0.5046901;0.667159146;0.360947886;0.359726706;0.01259069
P0A6H5;P11349;0;0.227669168;0.285102931;0.063203333;0.064434918;0.021014035
P0AE88;P0A858;0;0.15800087599999998;0.27436193;0.025471606;0.041010176;0.033552837
P23893;P0A877;0;0.245105338;0.415530103;0.202816755;0.217657552;0.022317631
P76578;P69924;0;0.11938521199999999;0.166339561;0.011943866000000001;0.016363687;0.011878126000000001
P62623;P03959;0;0.150332427;0.207632469;0.018350804;0.022866567999999997;0.01711191
P0AC02;P76015;0;0.150555473;0.183132168;0.035628706;0.042884697;0.023536285
P0A7W1;P0A7S3;1;0.43668446899999996;0.627115482;0.209478053;0.251667553;0.046036678
P69228;P0AF28;0;0.31491946;0.42702410799999996;0.317296222;0.320020729;0.09495122199999999
