Uniprot ID1;Uniprot ID2;Interaction;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Seq)
O14777;Q9Y2J4;1;0.172425004;0.400775886;0.053985137;0.09224604;0.014757363999999999
Q99679;P22310;0;0.095116174;0.253542426;0.023534362000000003;0.048654441;0.022277171000000002
P08236;P23141;1;0.216911422;0.393905751;0.08972145;0.11587145300000001;0.012479437
Q92793;Q9UHV2;1;0.169383671;0.381524078;0.09497282900000001;0.123567304;0.007409041
P02768;P98164;1;0.20108489699999998;0.419375803;0.080084648;0.109444838;0.004099829
P08709;Q13795;0;0.1561441;0.31648283;0.040075159;0.055059789000000005;0.024485694
P17948;Q9UER7;0;0.17292528;0.338678614;0.12546076;0.13791758699999998;0.008523569
Q9C004;P45983;0;0.162533365;0.331494195;0.040877962999999996;0.049534804;0.020196475
O75665;P42224;0;0.131459459;0.32858948;0.02044471;0.03742877;0.010881507
P17936;P16070;1;0.17730011199999998;0.34103505799999995;0.130468942;0.145403693;0.014437733000000001
Q13322;P26678;0;0.18693141;0.33017246100000003;0.044013817999999996;0.051859614000000005;0.018689558000000002
Q12967;P62834;1;0.217504543;0.44723662;0.037750576;0.051212056;0.01329367
Q12873;P16220;1;0.149996957;0.32498085600000004;0.0404811;0.058265435;0.007888278
Q9BTT4;Q9HC35;0;0.082352199;0.238965622;0.016699395;0.030154623999999998;0.012599971000000001
P25963;O14920;1;0.311352326;0.524219801;0.22893478899999997;0.251074482;0.014235835
P11226;P04264;1;0.26652642;0.48368985700000006;0.14223538;0.15567942699999998;0.017706621000000002
Q86WV1;P06239;1;0.295585365;0.5291805479999999;0.16238011900000002;0.175741387;0.015799875
Q96AX2;P06239;0;0.190445084;0.433852744;0.054662069;0.077103687;0.023635702999999997
Q12905;P26641;1;0.16105265300000002;0.40033580799999996;0.10458737300000001;0.125021089;0.02183554
Q92845;O75840;0;0.14319335;0.312619702;0.026151907999999998;0.038205922999999996;0.013158993
P60660;Q9UBS3;1;0.118107227;0.333683532;0.045663880999999996;0.082213448;0.040760866
O94817;Q16820;0;0.11810475599999999;0.264612188;0.060127704000000004;0.073941916;0.018893476
Q12879;Q13459;0;0.139406186;0.327171225;0.035426746;0.047503715999999994;0.0062405
