Uniprot ID1;Uniprot ID2;Interaction;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Seq)
P36041;P07260;1;0.37393874;0.502732977;0.459339437;0.439437931;0.022100591
P39706;P38123;1;0.570591341;0.753662263;0.89016495;0.875547667;0.065811909
P40070;P40089;1;0.530754747;0.707301011;0.703922521;0.684184233;0.072578081
P40362;Q06078;1;0.500892475;0.758355524;0.602966954;0.599136517;0.016965031
Q02775;P33411;1;0.440549616;0.530925416;0.274002507;0.266839648;0.023654366
P33298;P53549;1;0.524875925;0.740010327;0.602973364;0.634107797;0.318569392
Q04048;Q12417;1;0.467355285;0.615370138;0.433412793;0.42221808;0.015332788
P38251;P40348;1;0.619139798;0.800744029;0.76813944;0.804662079;0.162460387
P02309;P04911;1;0.56596403;0.720075688;0.52916107;0.542406023;0.066664934
P39743;P53169;1;0.202280959;0.328940555;0.051660416;0.067456779;0.014688876
P25451;P23639;1;0.46114881;0.671366574;0.497427184;0.557894323;0.033042095
P36000;Q00776;1;0.563171353;0.706933267;0.868302223;0.831324992;0.015594168
P40302;P21242;1;0.585393497;0.809587015;0.926343256;0.922721993;0.18647399
P15436;P47110;1;0.465941599;0.607662162;0.455578393;0.438493445;0.013109646
P08067;P07143;1;0.473726839;0.677342188;0.22518257;0.253709781;0.027420255
P01120;P01119;1;0.509494353;0.712346537;0.344625122;0.379820256;0.503291918
P32790;P33338;1;0.435092612;0.631027585;0.44316464;0.440307498;0.008830761
P28004;Q12309;1;0.480101936;0.615438431;0.339372373;0.330939388;0.016346087
P29366;P19073;1;0.340969913;0.470715854;0.100647955;0.114983303;0.021617166
P28004;P24384;1;0.496172905;0.637396199;0.29006991;0.266381406;0.011945242
P04050;P38902;1;0.472961778;0.611997193;0.548866705;0.509646816;0.008117868
P40070;P34230;1;0.184089551;0.283490325;0.044822408;0.057238065;0.014355659
P21691;P54784;1;0.367962437;0.507130886;0.283684621;0.272844166;0.011191141
Q01389;P08004;1;0.154228409;0.222502337;0.025146339;0.027848564;0.006744714
P25293;P53939;1;0.251737663;0.461519089;0.054673145;0.087025554;0.023367289
P00163;P08067;1;0.552147997;0.771160011;0.622831664;0.635694412;0.029602441
P33308;Q12343;1;0.385333597;0.519276883;0.220116003;0.20913921;0.037655191
P32790;Q06604;1;0.409362902;0.633180261;0.20629472;0.23863402;0.011824313
P38203;Q06217;1;0.407908134;0.526140091;0.192519727;0.184002235;0.113408442
P23638;P32379;1;0.581842327;0.802158265;0.857879796;0.869620039;0.274333115
P22141;P30656;1;0.497251133;0.707115925;0.508054932;0.565665906;0.114063927
P38633;P38782;1;0.439349603;0.582930717;0.385515214;0.373646606;0.034527651
P34077;Q03790;1;0.475183989;0.640117832;0.338803435;0.36406473;0.012800818
P12754;P32502;1;0.559892423;0.701667414;0.929721825;0.873975066;0.020569721
P40460;P33895;1;0.5284997;0.701894114;0.409514683;0.448031997;0.015013916
P38620;Q12265;1;0.586197203;0.768119456;0.99341762;0.992026824;0.138573932
P43609;Q06168;1;0.489106581;0.670890135;0.593047051;0.596044376;0.019268001
P33204;P36006;1;0.371132385;0.476175281;0.306997974;0.280168681;0.010682362
P40509;P22276;1;0.13960402;0.205576137;0.022612846;0.027310819;0.011097394
P02294;Q12692;1;0.424938672;0.538979619;0.129794497;0.138049795;0.042720796
P32628;P14736;1;0.445969233;0.611129774;0.598288347;0.602251622;0.012502379
P25343;P39743;1;0.586898978;0.739652326;0.540547634;0.559398413;0.087322731
P38682;P41811;1;0.423726436;0.588292995;0.331395736;0.340451076;0.01162279
P54861;P53550;1;0.260586268;0.395381367;0.081952406;0.095409013;0.010191617
P17890;P32349;1;0.570371204;0.79454851;0.874532566;0.867153206;0.016174814
