gene1;gene2;bma_resnik;bma_seco;gic_resnik;gic_seco;sim(phen series)
REEP6;DHX38;0.4292531359613374;0.8050617153883621;0.8294277269213338;0.8714425903643266;1.0
SETD5;PPP2R1A;0.25499543565276483;0.5137825367986366;0.12641526586242946;0.14431092655142808;1.0
ZNF408;KRT74;0.1936381161421026;0.3293761460047094;0.05355205521632938;0.05587852315555098;0.0
NUBPL;PGAP1;0.243255472125591;0.5213586071498746;0.17517726746766216;0.20588677672374625;0.0
LINGO1;PHF6;0.17141921525818632;0.4328760459642331;0.07537044896323615;0.10349095168521537;0.0
IL12B;CYBB;0.2293458274564561;0.3681932847124532;0.07628435948749547;0.08485492767243698;1.0
TSEN2;IMPDH1;0.20947774548795506;0.4171730714855558;0.09056761948123747;0.09934972055046393;0.0
KDF1;MSX1;0.2812066148553916;0.4558114136077985;0.08725849756852372;0.09349211131272696;0.3333333333333333
ANXA11;CHAT;0.232995549740904;0.4394061362666151;0.07430086921583352;0.07913410237872047;0.0
CARD11;CD40LG;0.3904067640485807;0.5873817148003326;0.252313626342257;0.2685180275249019;1.0
KCNJ10;CIB1;0.03691883189893521;0.06769673952534977;0.00626670600947774;0.005736313521218777;0.0
SLC6A8;SBF1;0.18937630439309944;0.3921231587563821;0.09115138852569356;0.1104511234119197;0.0
COL7A1;DSC2;0.16967048011211305;0.2860010115240084;0.038613755962631495;0.04162934609517805;0.0
GUCA1B;EDC3;0.17310785965670944;0.3689727935158363;0.07586198574531078;0.08632443722860941;0.0
CD3D;MPLKIP;0.2188103570148726;0.3462299994153078;0.07036593766412841;0.06436904722602386;0.0
SLC25A1;NF2;0.2431793148342391;0.45018991411472103;0.083022849484097;0.10155518581508967;0.0
NSMCE2;PANK2;0.1734245807853726;0.30788617567878235;0.06703823978649204;0.07221816032711145;0.0
PDE4D;TLK2;0.223496207126683;0.4582033546021289;0.11235711219400853;0.1415234651253847;0.0
TDRD9;NR5A1;0.4660019332263533;0.6994984440096841;0.13781346635785144;0.14147900119760884;0.3333333333333333
CEP290;CEP41;0.3666312890746821;0.6644759749386864;0.35117212007242565;0.37149232831031387;1.0
DGUOK;MPV17;0.319009385668104;0.5809894992537741;0.2322942967672701;0.2648080172140442;0.25
MBD5;TBL1XR1;0.2713761589220793;0.5310584696758895;0.20138975344373986;0.22518827568714944;0.5
KDM5C;LAS1L;0.2892627803140365;0.5797417774316833;0.2757905458209076;0.299215419106576;1.0
SYNE1;MPDU1;0.21237501905899955;0.44329929718634703;0.09112328206676994;0.11563584205983335;0.0
EFL1;PRKN;0.1601937958196496;0.3097117778827399;0.060433694981730936;0.06982769625204886;0.0
MSX1;GDI1;0.23425263035124202;0.4405914462811088;0.08295136647910711;0.09686338268006896;0.0
BEST1;MERTK;0.4120689120130489;0.7425326882751806;0.5024018941021834;0.5864420212842711;0.5
ERCC6L2;COL8A2;0.0014201477106188314;0.02609815971986706;7.11769263216786e-05;0.001640175501982473;0.0
DHDDS;DOLK;0.2081058599823597;0.4321541372418864;0.14912645840021105;0.16876138840540375;0.5
SBF1;NAGLU;0.18209908503580166;0.3458231514065787;0.0819200706760641;0.0955182221383034;0.5
LMOD3;VWA3B;0.15790863102727576;0.3509769575265044;0.027658908218469155;0.03495581653428293;0.0
TMEM67;CEP41;0.3706398849093119;0.6716679851000746;0.3190803798979693;0.34517423830595684;1.0
ATP1A2;ATP1A3;0.32452540076922265;0.6061079620990589;0.2582615247242418;0.2771461806893199;0.5
RYR2;MTO1;0.20779520119951347;0.3529924054165696;0.0887923540684727;0.08896598022807786;0.0
USP45;AIPL1;0.4069963399724171;0.7206100044931205;0.7077809769448419;0.7472784271259555;1.0
ZFYVE26;ERLIN1;0.283333511144865;0.538304045915965;0.15351395037701354;0.1796697133954213;1.0
NT5C2;AP4E1;0.2683774561805403;0.5578084475355024;0.2280993525929184;0.2528301508201053;0.5
TRPV4;NEFL;0.325852695715984;0.542806453318972;0.12829948961989718;0.15499351997390196;0.5
TMEM240;PDYN;0.3126548004958549;0.5885276960227817;0.21902001067663546;0.2390490212020705;1.0
UCHL1;MAPT;0.3400858902078229;0.62368150165175;0.1512633949833156;0.18094518828881265;0.5
TCAP;PEX11B;0.17975459248322329;0.3299188087499973;0.06757010688015715;0.07126206060418343;0.0
SETD5;SET;0.23612094003157344;0.4955857706647561;0.07982926009983081;0.0992105083680384;0.3333333333333333
KCNT1;TBC1D24;0.25567198387742845;0.5190845620938708;0.0688729198134713;0.08921107076524287;0.25
EDARADD;GNAL;0.057137856770901524;0.11571126320886616;0.0021776935698828268;0.00290947950162287;0.0
VIPAS39;CACNA1E;0.13457718710770494;0.317132963853765;0.11566140931963576;0.13255606518922566;0.0
COL6A2;TRAPPC11;0.28174379933804017;0.5177815280970938;0.13163593186538414;0.1493440107538995;1.0
DNAJC19;IGLL1;0.13289458649180969;0.24207873393709;0.04058403641603661;0.04395602014628835;0.0
NDUFAF3;SEC61A1;0.2017843328730049;0.3591825819988058;0.052930185880482906;0.056211742978263216;0.0
ANXA11;VAPB;0.4512757945072412;0.8022097186370685;0.6916835462344971;0.6945994718257605;1.0
MTFMT;NDUFAF4;0.28999572445975164;0.5898205472960776;0.3162282042520772;0.3461271717814517;0.25
ACOX2;PDE6G;0.1521543653295751;0.33521426121642617;0.03099688125228892;0.04204410447721866;0.0
KMT5B;TLK2;0.1639730359616683;0.39210920914349656;0.07657945280474006;0.08963136513626767;0.3333333333333333
ADAR;GAMT;0.22131164010287951;0.4783339187845107;0.05591671461080847;0.0767759137780732;0.0
DLD;COQ8B;0.1725243386133482;0.2725065338186656;0.032936329392180864;0.0315890937477942;0.0
ZNF687;SQSTM1;0.16314016749812268;0.2666496024585661;0.037106904378993055;0.036353692071369716;0.3333333333333333
LRP5;NLRP3;0.2914302108853629;0.5188537141642287;0.1604653550724899;0.1932342724221764;0.0
ABCC8;AP3B2;0.20813562650691406;0.4575665675040327;0.12059727801760875;0.1494860989735506;0.0
MBL2;MASP2;0.2755827916343527;0.4399205234168093;0.07037764669414956;0.08043164129022594;1.0
CACNA1F;MECR;0.21721547431364;0.4104060384694376;0.08014054039080408;0.09487493036041242;0.0
NDUFV2;FGF20;0.16007638080771974;0.2786509415941528;0.05635254677454692;0.05496446789506056;0.0
PIGP;ERMARD;0.2730619062103221;0.5290482467775341;0.17775347727936175;0.1963493446902304;0.0
EOGT;CNGB1;0.14941936092686134;0.28380444385886994;0.043721896949977815;0.053480776972995456;0.0
EDARADD;C2CD3;0.13164192984128326;0.2376911749190334;0.05612664058369722;0.06220987852013345;0.0
RAF1;PSEN2;0.20157538404000747;0.3947691760292902;0.10164573467522273;0.10985594215692424;0.3333333333333333
ARL6IP1;PLP1;0.2900335805873518;0.5226872220413405;0.1173843485890426;0.1298446233971013;0.5
B4GALNT1;KCND3;0.2498585987505381;0.4967910630421522;0.1927190361018128;0.2190350998597643;0.0
HCFC1;SYP;0.4612953392501312;0.8783530828566828;0.7671292044400475;0.7859734838756454;0.5
STXBP2;CLN8;0.08242610416590179;0.13201937006254064;0.024404482310972656;0.020636701367598192;0.0
NEFH;SURF1;0.2400338905361894;0.4585583196933956;0.10360417781139017;0.12284275807991693;0.5
GPHN;MOCS2;0.2607315639191836;0.4493750887108422;0.19826282547436824;0.18839594923690955;0.25
LRBA;TNFRSF13C;0.39731140427950784;0.6371147121864172;0.4138196763436517;0.4255385707562398;0.5
KIF1B;INF2;0.3492443776116714;0.5616218834959501;0.14134334431017512;0.15329376248422838;0.5
NDUFAF1;ATP8A2;0.17591695486084788;0.3849175015572167;0.08733135652681735;0.10467307180979464;0.0
GUF1;STOX1;0.07440695177213649;0.16464352505291335;0.00553383911210047;0.007277301165142584;0.0
FSCN2;RPGR;0.3473159247269261;0.6529650139407863;0.3302137503076418;0.3792491575426311;0.5
SCN11A;DST;0.17800852857732907;0.3324353539859849;0.09978706587081106;0.11079078008459804;0.5
MSH2;BCKDHB;0.19242187627603527;0.4100838955931673;0.055840647391828376;0.07725542539970932;0.0
APC;CFHR1;0.21100720148495344;0.3516187766377463;0.033579492987603037;0.039336557427792726;0.0
TBCK;ISCA1;0.19973228225813267;0.4440389723360904;0.1073875935028266;0.1349982123580236;0.0
CPLANE1;PKP2;0.09676571511377972;0.16700878002932712;0.005008141171834818;0.005165910220047854;0.0
NHP2;TERC;0.4694236843453707;0.74197393306463;0.6094957788764269;0.6300104854804222;0.5
GBA;CHCHD2;0.3031727262790053;0.5352287543220671;0.04153666333202425;0.0451725964381547;1.0
RFWD3;BRCA1;0.4367121189356764;0.7502869913408026;0.6384009102620185;0.6578812216688837;1.0
PRKAR1A;MC2R;0.307531477394213;0.5054059321387012;0.07856909304980746;0.08869347021970453;0.0
MINPP1;NRAS;0.3190226658073247;0.4594841511554731;0.06621143863328653;0.06185937039569731;0.5
CLPP;DSC3;0.044838040983412014;0.09605078181278696;0.011628038991456792;0.012852493904062488;0.0
NLGN3;TLL1;0.0014201477106188314;0.02609815971986706;7.706893024299708e-05;0.0017859487490847856;0.0
HPGD;TRIM2;0.1644477456793279;0.274372039230548;0.043550811520703885;0.04569292631091447;0.0
FXYD2;EXOC6B;0.08371132100186562;0.13794799502728927;0.009064178776526904;0.009932144231572938;0.0
ZFYVE26;PEX26;0.2169411245001724;0.4291433378545909;0.08321397491051452;0.09576481241723883;0.0
SLC52A3;DYSF;0.2564965337766853;0.43398440651707215;0.10011774442194776;0.10598293184047346;0.0
LIM2;CTNNB1;0.16450814381318235;0.308970724279273;0.01435152284575056;0.017623742588565222;0.0
RD3;SLC25A19;0.20672342886633135;0.4226557496499113;0.11839403454277656;0.13538636495233178;0.0
BRDT;NR5A1;0.30273893302025856;0.4913598589135965;0.0280688964160931;0.0307936459676218;0.3333333333333333
GNRHR;COX7B;0.2223993746620017;0.4110769025171399;0.10125490769622664;0.11415317214201975;0.0
STIM1;TCAP;0.312964839145;0.5009177130996092;0.13826031860337498;0.14310211180613558;0.0
TXNRD2;PLAU;0.19378742124714304;0.3284845690807661;0.041018363671017334;0.04670260955208663;0.0
SCN8A;SCN1A;0.3191060872294564;0.6006116142571811;0.22283026550438745;0.2507585623448915;0.2
CDH23;MYO6;0.2510576387269633;0.4553364330298619;0.038981051645999965;0.046058861173849566;0.25
CNGB1;FAM161A;0.4368761565446279;0.8184355751794338;0.9314826755685459;0.9463245332131996;1.0
KANSL1;CTCF;0.3007081287575253;0.5987413758129772;0.25468329385881083;0.2822930925874923;1.0
CCDC40;CDT1;0.21946277510353296;0.3911021417960393;0.06837099823260194;0.07474334852523737;0.0
MED23;TECR;0.4411999703332867;0.8491563848477905;0.9576709079451808;0.9592743936213792;1.0
PRDM12;DOCK8;0.16656108773313086;0.2791011036843848;0.020896107018372957;0.02403777064441499;0.0
TRIP12;TSEN54;0.1667779264304271;0.35471936220727657;0.0631599613449282;0.07635193627663434;0.0
LRRC8A;HOGA1;0.061106263391122725;0.11843982298106355;0.008377103462270347;0.00973993763359737;0.0
SERAC1;SRD5A3;0.20523676041469144;0.43012869950996413;0.1138563912032284;0.13517669111073338;0.0
RAF1;BTK;0.24440870917254154;0.4233584803136549;0.10283661133936056;0.11454301243741274;0.0
ZIC3;AIPL1;0.14031497763184958;0.24516887535013798;0.019570614031923003;0.022357489494014296;0.0
KIAA1549;EYS;0.4154253263935706;0.79370220135377;0.7900273332443626;0.8317248521412882;1.0
OPA3;EPOR;0.09391036346034297;0.19094753691171493;0.015595484061250244;0.01904106379588632;0.0
JAK2;CAV3;0.1586151071650095;0.28846179211823153;0.022694953015207624;0.02752629825065746;0.0
RFWD3;SERPIND1;0.16214825477168582;0.2250416219164488;0.00961523716384254;0.008628014953032444;0.0
GMNN;KCND3;0.09679765537952699;0.2043573615556546;0.02312836698924004;0.027210476674844046;0.0
TSC2;UNG;0.1990213222820303;0.3223166287106353;0.04172294611383268;0.047532744829165474;0.0
PRSS12;SLC25A4;0.209257123908812;0.4467322901796092;0.08365476695763152;0.10197367746423484;0.0
SERPINH1;COQ6;0.09746273462717;0.1764610284530504;0.021572440829778883;0.02210343750173337;0.0
SPTLC2;NGF;0.3737985474925164;0.5343664987299921;0.21219083167137304;0.2062736176098359;1.0
FGF23;IL17F;0.12853337913309631;0.20666515684562076;0.06673665718488465;0.07080468979772944;0.0
SYNE1;RUBCN;0.2400103328634725;0.4874844146244479;0.0974852162919976;0.12522316985684054;0.5
CHRNA2;NDUFS4;0.16923502935539653;0.3325014459933996;0.023596884386075892;0.02713117067109598;0.0
TBCK;OPN1LW;0.15497810201184226;0.28641671322747275;0.019257015498966516;0.02117780297632427;0.0
IL21R;MALT1;0.24554785587764602;0.46814373948995597;0.12993760746155342;0.15232234685050985;1.0
DYNC1H1;YARS1;0.3309499279344721;0.5319534099638293;0.11774885737518227;0.11292838892840393;0.3333333333333333
ZMYND15;STXBP1;0.1836746600024661;0.3287969494097466;0.022354793395619684;0.023730767621659387;0.0
SYP;ATL3;0.1802671092573664;0.285588665142734;0.059560628349437365;0.04965911379659259;0.0
HYAL1;AEBP1;0.19997644091239702;0.3431897801814009;0.08001130908357308;0.08211888516415079;0.0
EGR2;INF2;0.397986684616268;0.6401119769642474;0.3203205868863849;0.3263664399367921;0.3333333333333333
FIGLA;SMARCD2;0.0014201477106188312;0.02609815971986706;3.710738182849095e-05;0.0008267338362782196;0.0
THRA;MTHFR;0.15168929044441193;0.29367951400616626;0.045991582703417896;0.056823925856687066;0.0
CEP290;RD3;0.29402432573403353;0.5351467543932485;0.13177068735811512;0.1461154433350145;0.5
KNL1;MFSD2A;0.3641277306288789;0.7171640533784511;0.5291973714853437;0.5366605595826552;0.3333333333333333
DPF2;HIVEP2;0.2376116340273467;0.5308838156206777;0.11139975448249208;0.14218689518227173;0.25
PLCB1;BRAF;0.15669281539296398;0.33813278902356125;0.015313661541144524;0.019653501392290256;0.0
EFL1;NDUFS4;0.2146195849408468;0.438146548508672;0.10177016952023492;0.13228384953528155;0.0
