Uniprot ID1;Uniprot ID2;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Pfam);Sim(Seq)
R9PY35;Q9VCW2;0.135201681;0.258587915;0.049884445;0.080739499;0;0.015392576
Q9VTA7;Q9VTI5;0.070910724;0.14971954;0.020013324;0.034444298;0;0.019721509
Q7KT13;Q9VJ41;0.08676466;0.185013627;0.015697544;0.02835017;0;0.018185689
Q9W3Z3;A8DY43;0.108916879;0.190740292;0.019676385;0.031652567;0;0.00895569
Q4V5A3;Q9VVY4;0.114367796;0.255698621;0.027299623;0.052291908;0;0.021685222
Q7KPG8;Q9VDE6;0.129388872;0.181457894;0.011040097;0.013715802;0;0.014670927
P40945;Q8SX86;0.198589201;0.311111353;0.070188129;0.077068882;0;0.02520835
Q9W4P0;Q9VAI2;0.168044668;0.309331476;0.093361414;0.128485455;0;0.00726033
A1Z9N7;P18105;0.119597899;0.177837045;0.015274111;0.017591911;0;0.008541009
P11346;Q9VW15;0.287673001;0.405817559;0.083377753;0.090813185;0;0.006209703
Q7KRY7;Q9VYR9;0.180647117;0.266043681;0.023880624;0.027461634;0;0.006898529
O18408;P00528;0.118982265;0.198993211;0.010226343;0.014541064;0;0.01410399
Q9VZX1;Q9V7G5;0.090295807;0.168449288;0.012390344;0.021320841;0;0.022628208
Q9VGA7;Q9VUR0;0.070558344;0.149730394;0.028268845;0.04756034;0;0.01451279
Q9VR05;Q9VXU6;0.185288122;0.359607606;0.089037687;0.129709621;0;0.015225534
P23625;A1Z9D5;0.154546693;0.219947387;0.014492086;0.017370209;0;0.02738171
A8JQX3;Q9VL89;0.236453281;0.388697979;0.084667861;0.116853156;0;0.015641945
Q8IN72;Q8MLQ7;0.067037562;0.138586589;0.012649774;0.024016486;0;0.018851122
Q9VTH4;Q8SYL0;0.079047193;0.147857549;0.0133135;0.020675721;0;0.021131468
Q9VB88;Q8SXG7;0.118798126;0.210189545;0.045694681;0.05779953;0;0.027712997
Q9Y128;Q0KHR7;0.171645473;0.311586818;0.035719358;0.054107208;0;0.014674474
B7Z0S9;A1Z7Z6;0.076635295;0.157406593;0.017504837;0.030449787;0;0.026951033
Q9W459;Q9VIH1;0.170825237;0.281736679;0.098035491;0.124217719;0;0.020318258
Q8IQP0;Q9VN56;0.079101103;0.167321005;0.014617761;0.022607882;0;0.020587822
Q59E33;Q9U5L1;0.167048684;0.257866539;0.034145282;0.044012201;0;0.011517023
Q7JWD6;P58954;0.136888013;0.239657322;0.022035186;0.025099478;0;0.036185973
Q9VHI1;Q9VI24;0.184343958;0.291601096;0.099714665;0.112079478;0;0.017673899
Q24046;Q32KD2;0.122855574;0.195486142;0.010319878;0.014531091;0;0.010778184
P52302;P45888;0.169623419;0.291351105;0.019527416;0.025802287;0;0.014748424
Q9VH45;Q9VAC8;0.217486822;0.320144923;0.06491898;0.075034165;0;0.02145949
Q9VI79;Q9VLN6;0.27689338;0.403165384;0.109868677;0.117314156;0;0.011120965
Q9VQB7;Q9VDP7;0.134459152;0.222994424;0.064613049;0.073413894;0;0.015691504
Q9VBD3;Q9VK51;0.130143257;0.206326439;0.019829323;0.02928635;0;0.01175136
A4V2C3;Q7JWG9;0.135527477;0.230898297;0.087249247;0.080275153;0;0.019018339
Q7KT22;Q9VJG5;0.166859193;0.313558675;0.073292466;0.102220026;0;0.011263785
Q01069;Q9VTL3;0.105170651;0.201432209;0.020496876;0.029026933;0;0.01955572
Q9VYP9;M9PJ12;0.068335041;0.143369018;0.006985318;0.011131826;0;0.008825132
O97066;P62152;0.148217075;0.259418246;0.032285182;0.040169624;0;0.038794525
P83949;P02299;0.205314787;0.315526866;0.04845536;0.067674699;0;0.02379216
Q9VAS8;Q7KT71;0.07472873;0.152251094;0.006515496;0.012113634;0;0.007604217
Q7K0X9;Q6NL44;0.066982082;0.137996074;0.004251815;0.007854682;0;0.019893756
E1JIV5;Q9VG17;0.137497727;0.243180241;0.021768825;0.033431541;0;0.027992249
C0HKA4;X2JDS9;0.073800861;0.151365402;0.014014536;0.022436057;0;0.019121336
Q9VP57;Q9VP47;0.180990583;0.298934365;0.052985612;0.068731913;0;0.009946347
Q9VMT6;Q9V4A7;0.108435266;0.19499191;0.013739764;0.022529751;0;0.007527123
Q9VPF6;A1ZAH6;0.149653868;0.239696703;0.085551541;0.084444334;0;0.016676157
Q9VSL8;A0A023GPK8;0.198049422;0.290505516;0.027939239;0.031845901;0;0.004856033
Q95TN1;Q8SWS7;0.089025985;0.176020771;0.027689487;0.047820201;0;0.021538119
