Uniprot ID1;Uniprot ID2;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Pfam);Sim(Seq)
P23865;P0AE24;0.102658085;0.137408825;0.0181997;0.022985873;0;0.013443959
P37610;P76007;0.138109906;0.187516187;0.023185334;0.028687652;0;0.018725481
P21889;P09152;0.193965537;0.245135128;0.078672959;0.077463651;0;0.010864436
P0AB67;Q6BEX0;0.196757719;0.261794171;0.099184859;0.10322641;0;0.015461769
P33931;P32177;0.193797469;0.333098761;0.057337538;0.082655259;0;0.030181478
P77468;P76350;0.240433378;0.304684827;0.070614068;0.083187962;0;0.013017869
P04951;P30011;0.250422562;0.40452414;0.11329632;0.127179909;0;0.031138734
P25396;P0A6A3;0.144229691;0.198368178;0.02876749;0.036472125;0;0.022862211
P33916;P75830;0.320113822;0.453120789;0.178170522;0.188977541;0;0.017502187
P0AEM9;P29018;0.357920122;0.404322168;0.264440148;0.247939666;0;0.018864371
P0A9R7;P26647;0.146639177;0.205479371;0.021276866;0.024194448;0;0.031183947
P0ABC7;P60785;0.279263924;0.40300657;0.110481031;0.124686757;0;0.014931268
P60624;P33941;0.113755823;0.156509743;0.020795634;0.023980442;0;0.022279338
P45748;P75830;0.172378091;0.237731843;0.023720995;0.027537655;0;0.026587634
P30850;P26616;0.210174827;0.390089277;0.060617688;0.087260979;0;0.013114186
P26266;P07648;0.114287371;0.146519575;0.009712427;0.011628892;0;0.012175266
P24177;P0A805;0.114614924;0.158677018;0.03526752;0.043332424;0;0.011417318
P0AC53;P0A7B5;0.264802501;0.456403528;0.084666571;0.111488774;0;0.020102311
P00490;P38134;0.241029748;0.298686339;0.068647029;0.071060213;0;0.013119913
P0AA63;P0AC53;0.119829434;0.155690512;0.026958411;0.031308782;0;0.024776633
P0A749;P0AC33;0.187528196;0.347214321;0.051681648;0.074451706;0;0.016239821
P0ABK5;P37634;0.229815201;0.355568153;0.065128906;0.07933994;0;0.025110965
P22939;P0ACL9;0.117807585;0.152527876;0.013158108;0.0172332;0;0.025295947
P63386;P0A9C0;0.201558517;0.250564849;0.113849737;0.125252004;0;0.022127778
P0ACQ7;P0AGB0;0.233686509;0.321626785;0.033385545;0.043465014;0;0.023724579
P0A955;P76264;0.131223805;0.189285689;0.027799585;0.038055438;0;0.031973187
P28905;P0AB74;0.153292034;0.194877041;0.02960752;0.035439966;0;0.035162665
P03817;P0A9C5;0.182125862;0.346086122;0.048949472;0.074456465;0;0.02661267
P00370;P05791;0.314731988;0.474344557;0.317522441;0.317161691;0;0.018236118
P36979;P0AAI3;0.223074145;0.281440281;0.057471382;0.058818234;0;0.014545506
P46133;P05852;0.12091176;0.17276997;0.014265467;0.017852087;0;0.016893915
P0AEM9;P10151;0.125139876;0.159601806;0.013406681;0.017034804;0;0.023270151
P0ADY1;P02930;0.23347747;0.394980549;0.074305741;0.102389059;0;0.022517215
P13857;P43672;0.178569001;0.246402373;0.038198638;0.051584103;0;0.017450618
P26616;P0AFU8;0.279720958;0.482905846;0.113450536;0.139864418;0;0.017669163
P36929;P0AFC7;0.156995733;0.203047898;0.028212711;0.030605665;0;0.021749635
P37637;P0ACD4;0.111862288;0.157045703;0.038888424;0.04321676;0;0.013323696
Q47149;P0AE08;0.218201974;0.246608409;0.033459058;0.035418036;0;0.046280463
P0ACP7;P07604;0.372337841;0.524854141;0.419820785;0.411482129;0;0.021307259
P16528;P0A9J6;0.159201963;0.353395964;0.047051394;0.084577939;0;0.026730272
P60757;P63224;0.241530597;0.433314923;0.09307596;0.117488632;0;0.026936947
P0ADG4;P18776;0.200189949;0.262751162;0.045490615;0.050973226;0;0.0267329
P08506;P03007;0.235251101;0.271877756;0.076281493;0.076799946;0;0.022627184
P02930;P0A8A4;0.148787345;0.198172398;0.034778544;0.042713255;0;0.02012969
P09980;P0AEL0;0.209800673;0.23835703;0.047854429;0.047476822;0;0.021879586
P37690;P33594;0.168283047;0.199583662;0.02168018;0.02259317;0;0.024567805
P0AF32;P0AE88;0.12394421;0.162440593;0.02037933;0.025907159;0;0.031960412
P0ACF8;P23895;0.166563584;0.257943968;0.034719006;0.049729216;0;0.062154731
P43341;P37387;0.200886231;0.236826439;0.048532413;0.051606028;0;0.027146573
P60752;P27298;0.134756514;0.184670424;0.015578462;0.017928088;0;0.012714903
P23895;P37637;0.272553808;0.391351134;0.090585154;0.112131364;0;0.014240551
P00934;P08194;0.108018082;0.148020648;0.015099119;0.020126437;0;0.019634306
P68679;P0C093;0.122188201;0.16182699;0.0167875;0.02187411;0;0.068718826
P76422;P71241;0.278891396;0.325824707;0.083351957;0.087601905;0;0.021976466
P64588;P31129;0.207528591;0.233731845;0.050789197;0.048635626;0;0.030321461
P0A7J0;P0AGA2;0.160807986;0.213654376;0.025646768;0.030692099;0;0.021950844
P00363;P62623;0.265079945;0.403836759;0.057076666;0.073538167;0;0.016611397
P0A6U3;P77338;0.129245844;0.170650787;0.019093832;0.023275478;0;0.011407212
P05706;P04805;0.117529265;0.157575319;0.023275832;0.028788891;0;0.019804149
P0ABH0;P17445;0.217599888;0.402540133;0.052527704;0.07800743;0;0.021854342
P0ABZ1;P77747;0.144154476;0.20808375;0.049082006;0.063834709;0;0.022238869
P18200;P31119;0.320742716;0.45039476;0.266606884;0.291057009;0;0.017328183
P39386;P0A884;0.154175075;0.193125503;0.014733318;0.017274802;0;0.029788676
P0AE88;P0AAE0;0.094283698;0.124058204;0.009357552;0.012668954;0;0.026719878
P23882;P0AF01;0.128785117;0.181747929;0.018658935;0.023440176;0;0.02407091
P08839;P0A7H0;0.187177829;0.329778996;0.06312583;0.09060366;0;0.01741188
P37019;P0A7D4;0.203197092;0.261072077;0.042712419;0.050111091;0;0.01732085
P39453;P31057;0.252882169;0.370468775;0.074704039;0.087058581;0;0.015472193
P0AFG0;P0ACU2;0.254250953;0.296773893;0.174483274;0.162298016;0;0.035474532
P69490;P07003;0.291052038;0.370618389;0.117199873;0.116800371;0;0.022384927
P32132;P0A707;0.367709328;0.496292584;0.17127599;0.190414771;0;0.021847256
P0A7G2;P00350;0.20301811;0.333752296;0.06147287;0.079989602;0;0.02254089
P76342;P0A964;0.129326311;0.16756551;0.027654748;0.034161634;0;0.031731063
P76577;P46139;0.216732877;0.261808198;0.080182522;0.080687716;0;0.020577102
P15042;P37676;0.169422251;0.221475773;0.035755213;0.040806298;0;0.01622192
P0A707;P46136;0.120426453;0.1703696;0.026337376;0.035576507;0;0.027041981
P37634;P0ACF0;0.241040833;0.372817819;0.160363237;0.171387144;0;0.055094636
P0AC96;P16688;0.107333919;0.148262053;0.009323008;0.011389273;0;0.027371196
P0A7L0;P26365;0.130585042;0.171624129;0.020264566;0.024821118;0;0.021816348
P0AB67;P17334;0.195678538;0.364381161;0.137390094;0.190657169;0;0.018220462
P0AFK9;P77211;0.280962402;0.345017573;0.061214421;0.067851909;0;0.019757013
P39321;P45464;0.187864946;0.25195598;0.043090876;0.051412044;0;0.010513982
P0ACF0;P31979;0.263264663;0.335786977;0.077305842;0.080683587;0;0.026688324
P28629;P0AA82;0.113984395;0.159267177;0.011234041;0.014537521;0;0.017613788
P0A9T0;P30855;0.14536509;0.181058756;0.054278116;0.0558518;0;0.012147172
P0C058;P75799;0.121327225;0.167689767;0.015158089;0.018991951;0;0.039539462
P60560;P0A9Y6;0.197119072;0.344112212;0.035321863;0.055872819;0;0.030557184
P30125;P0A6D3;0.251975807;0.415411765;0.174580419;0.187149474;0;0.022678037
P69922;P0AGC3;0.230891681;0.287377902;0.06834835;0.073278515;0;0.016176154
P64512;P0A9U1;0.170391795;0.297431389;0.07655579;0.122060555;0;0.033612308
P64423;P0C0L7;0.346591241;0.422137532;0.133991279;0.151214457;0;0.01875202
P23894;P09158;0.16406877;0.210279377;0.059401785;0.060743087;0;0.02560161
P0A850;P37349;0.239483927;0.347651933;0.080288319;0.099441592;0;0.017713736
P46889;P17444;0.260611065;0.302485336;0.062190102;0.067655368;0;0.011477788
P0A7E1;P0A6J5;0.257537226;0.319531196;0.076281625;0.080972877;0;0.019461361
P0AG82;P67444;0.165190856;0.206252039;0.06146791;0.062170942;0;0.021950338
P63183;P0AA93;0.158907085;0.317235974;0.039111484;0.064642785;0;0.013076971
P45955;P0A6S5;0.300031779;0.352600683;0.173022648;0.166088693;0;0.033158057
P0AGM7;P09372;0.129495738;0.183174565;0.016911878;0.021156712;0;0.027512002
Q6BEX0;P37355;0.103250705;0.139238023;0.012198095;0.013994087;0;0.023605894
P22523;P30860;0.207927379;0.265254802;0.040697959;0.048048353;0;0.008946921
P31440;P68183;0.330301876;0.509175326;0.182863532;0.226954133;0;0.024185259
P08179;P39405;0.184053583;0.383153543;0.042374123;0.068965458;0;0.030464665
P77510;P76445;0.219880635;0.341043581;0.074835578;0.100771583;0;0.030198654
P0AGC5;P28635;0.128785117;0.181747929;0.017657643;0.02199017;0;0.024396473
P37313;P0ABV6;0.214787656;0.249440973;0.093361496;0.081354128;0;0.032165624
P02925;P76141;0.158918322;0.205519598;0.026495154;0.032034843;0;0.021927867
P23874;P05194;0.206252433;0.331792647;0.043483855;0.055940947;0;0.025434144
P0ABH0;P0A9P6;0.204610184;0.318703702;0.032080617;0.045319461;0;0.018367189
P67910;P39406;0.198506933;0.351114154;0.047406656;0.063436293;0;0.025072194
P37188;P08204;0.211000032;0.24266536;0.063478266;0.070107131;0;0.027244709
P29745;P17445;0.219912559;0.351966787;0.09265772;0.113131895;0;0.020537242
P23874;P00956;0.253748055;0.394403619;0.092227218;0.109426231;0;0.012404184
Q59385;P08200;0.161452091;0.199740273;0.026798144;0.030096351;0;0.015029994
P0ADV1;P75914;0.169778413;0.229577107;0.056032088;0.059909367;0;0.033520172
P09151;P0AAI9;0.408397801;0.577391292;0.252270614;0.274853732;0;0.017322152
P16456;P0AFF0;0.159481424;0.205356128;0.025303034;0.027320257;0;0.019070709
P00963;P0A964;0.176592514;0.293161553;0.042242113;0.064393266;0;0.026106174
P0A6L2;P29745;0.252105731;0.418961909;0.136182495;0.165650149;0;0.022351002
P0AEL0;P0AGK4;0.18586465;0.233817956;0.043374539;0.045208985;0;0.066789085
P06999;P0AA86;0.186470755;0.238987496;0.037661135;0.043472456;0;0.028292527
P09152;P43672;0.195605803;0.262660796;0.069300257;0.081988974;0;0.010831338
P0A912;P23876;0.221022976;0.318510766;0.039209857;0.049427347;0;0.024903846
P07118;P0AC51;0.198925922;0.246978969;0.086595453;0.086065453;0;0.013575383
Q46839;P28630;0.107649249;0.146753775;0.00957919;0.012186048;0;0.016636555
P30126;P0AFA9;0.172676956;0.22258706;0.026198726;0.029680392;0;0.026739244
Q46824;P0AC98;0.175477595;0.281579497;0.064154873;0.095744048;0;0.048976722
P0A924;P22729;0.168235352;0.295761516;0.044241813;0.068083892;0;0.023195204
P02943;P76352;0.288973333;0.335339101;0.070000252;0.075025926;0;0.025544148
P25516;P0AAI3;0.242897255;0.322476869;0.090590671;0.098167846;0;0.013422173
P0A9E0;P06612;0.217319799;0.36342645;0.073319508;0.095565824;0;0.017537925
P0AE16;P0CB39;0.192192596;0.358263727;0.077764848;0.112200456;0;0.015284148
P39199;P0A9P6;0.196473854;0.329960521;0.040460698;0.052947018;0;0.015360601
P0AA47;P45394;0.292306876;0.426952582;0.141913157;0.171026258;0;0.020441092
P77589;P0AA63;0.305751928;0.485048853;0.194728692;0.256135883;0;0.024234961
P0AB67;P0AFZ7;0.228545732;0.410218395;0.097138766;0.140374175;0;0.021733326
P31119;P0CB39;0.266476769;0.424007705;0.128998534;0.16299967;0;0.013832361
P60240;P77510;0.180133907;0.220908049;0.041970758;0.045363447;0;0.010843141
P00363;P0ABL1;0.348283955;0.434046446;0.125323755;0.129732953;0;0.02101605
P0A8Q0;P07017;0.22813561;0.245506357;0.044071941;0.045589705;0;0.029416413
P0AEC8;P60752;0.247916888;0.401630682;0.090351711;0.122208724;0;0.014412527
P32705;P0A9S3;0.110346497;0.155458937;0.012314051;0.015829629;0;0.018727982
P0ABU0;P64550;0.125530679;0.173412372;0.015646255;0.019237987;0;0.032406606
P0A821;P10902;0.327869785;0.485746959;0.241941419;0.255379108;0;0.01980332
P30860;P75733;0.195019423;0.237322355;0.054722782;0.057193314;0;0.027328016
P24202;P77529;0.104394224;0.140893207;0.012624987;0.01719412;0;0.022829045
P10903;P08201;0.101031346;0.139247546;0.009713934;0.011234112;0;0.013528377
P0AAI9;P33602;0.15076111;0.201615222;0.038955192;0.04122086;0;0.013405623
P69797;P0A988;0.12990329;0.242472373;0.024648571;0.041821802;0;0.021355967
P0AA78;P06959;0.126505344;0.180280594;0.007320162;0.009960077;0;0.015306841
P69428;P38489;0.200383832;0.378874593;0.043094649;0.068667954;0;0.036947652
P14900;P0ACZ4;0.175738498;0.232541059;0.04364061;0.052950985;0;0.022214154
