Uniprot ID1;Uniprot ID2;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Pfam);Sim(Seq)
P0C2I8;Q04214;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.303862789
P0C2I8;Q04215;0.469811713;0.804083367;1;1;1;0.767217533
P0C2I8;Q04670;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.389764959
P0C2I8;Q04706;0.469811713;0.804083367;1;1;1;0.972709948
P0C2I8;Q04711;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.387196717
P0C2I8;Q07791;0.342683845;0.575143466;0.11332489;0.129874944;0.25;0.181354809
P0C2I8;Q07793;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.421019986
P0C2I8;Q12085;0.469811713;0.804083367;1;1;1;0.982485242
P0C2I8;Q12088;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.390009191
P0C2I8;Q12112;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.332568368
P0C2I8;Q12113;0.342683845;0.575143466;0.11332489;0.129874944;0.25;0.179370354
P0C2I8;Q12141;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.390454308
P0C2I8;Q12193;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.38774756
P0C2I8;Q12217;0.469811713;0.804083367;1;1;1;0.972915665
P0C2I8;Q12260;0.469811713;0.804083367;1;1;1;0.462895458
P0C2I8;Q12266;0.469811713;0.804083367;1;1;1;0.761901376
P0C2I8;Q12269;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.390615464
P0C2I8;Q12273;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.393630532
P0C2I8;Q12293;0.469811713;0.804083367;1;1;1;0.45909158
P0C2I8;Q12316;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.3904761
P0C2I8;Q12391;0.469811713;0.804083367;1;1;1;0.83859837
P0C2I8;Q12392;0.469811713;0.804083367;1;1;1;0.456191274
P0C2I8;Q12414;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.394545702
P0C2I8;Q12439;0.469811713;0.804083367;1;1;1;0.458862087
P0C2I8;Q12441;0.469811713;0.804083367;1;1;1;0.974640321
P0C2I8;Q12470;0.469811713;0.804083367;1;1;1;0.949682348
P0C2I8;Q12472;0.342011537;0.573939243;0.112575573;0.128937484;0.25;0.177992928
P0C2I8;Q12485;0.469811713;0.804083367;1;1;1;0.983509562
P0C2I8;Q12490;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.301760929
P0C2I8;Q12491;0.342683845;0.575143466;0.11332489;0.129874944;0.25;0.181034518
P0C2I8;Q12501;0.342683845;0.575143466;0.11332489;0.129874944;0.25;0.179490877
P0C2I8;Q6Q5H1;0.469811713;0.804083367;1;1;1;0.988369438
P0C2I8;Q92392;0.469811713;0.804083367;1;1;1;0.990278351
P0C2I8;Q92393;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.388583794
P0C2I8;Q99231;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.389492293
P0C2I8;Q99303;0.469811713;0.804083367;1;1;1;0.464881575
P0C2I8;Q99337;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.379323897
P0C2I9;P0C2J4;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.170286921
P0C2I9;P0CX57;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.397424528
P0C2I9;P0CX58;0.342683845;0.575143466;0.11332489;0.129874944;0.333333333;0.397424528
