Uniprot ID1;Uniprot ID2;Interaction;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Seq)
Q24106;Q24306;1;0.380033116;0.469989064;0.157879989;0.159242482;0.017450279
Q9W087;Q9VKW8;1;0.481242469;0.650628406;0.409588931;0.432189943;0.088161908
Q9XTN2;P09208;1;0.518814179;0.644714623;0.290237481;0.288294789;0.005674463
P16371;Q8IMA8;1;0.33383724;0.439661934;0.252989219;0.258194896;0.010536567
P26017;Q9V727;1;0.351911236;0.490262565;0.254655635;0.276189656;0.007892622
Q05652;P22812;1;0.534284282;0.73350668;0.735246534;0.705080562;0.023684603
O16844;P19538;1;0.291096909;0.422509614;0.140005011;0.149422946;0.008070248
P23696;Q9VB23;1;0.47467876;0.616095801;0.424801748;0.417588166;0.019308684
P42124;Q24338;1;0.434119315;0.548973193;0.536974728;0.53136946;0.013907749
O61734;O61735;1;0.536954276;0.746915175;0.781846415;0.804405873;0.081388154
Q24338;Q24572;1;0.429582932;0.573181683;0.362391116;0.378567104;0.049274674
Q9VSR5;Q9VFJ2;1;0.363242276;0.558877995;0.315538291;0.336603906;0.035149891
P18053;Q9VK14;1;0.434401211;0.633254773;0.398061161;0.445907603;0.204911779
P84040;P84051;1;0.411563903;0.589538037;0.405959599;0.42257244;0.051932543
Q9XYN7;P40301;1;0.510797341;0.784491735;0.931320291;0.944881405;0.028433852
Q9VDC6;Q24459;1;0.160201786;0.243952558;0.042667789;0.047299327;0.012274183
Q9VFC0;Q7PLI2;1;0.317652846;0.420944775;0.0630247;0.077230598;0.006728059
Q9VGW6;Q26454;1;0.569515051;0.743860408;0.677032774;0.705550099;0.19676432
P08970;P13469;1;0.247714723;0.393284895;0.155974702;0.180362922;0.011965249
Q9VRV7;Q9VPR5;1;0.508303179;0.741976609;0.542354439;0.582113155;0.011452766
P49028;Q9VEC5;1;0.208553225;0.334239663;0.070798996;0.088020552;0.014167733
P49735;Q9VGW6;1;0.539879985;0.718222876;0.58516465;0.633084682;0.206135155
P18537;P09615;1;0.393186556;0.493411903;0.121442251;0.124179551;0.015733842
P91682;Q7KRY6;1;0.209392085;0.315623189;0.031169018;0.03730668;0.011092774
Q9VNA5;Q9XYN7;1;0.54300198;0.813352143;0.877487758;0.885211245;0.10871252
Q9V9T4;Q24368;1;0.486176653;0.614266043;0.362848515;0.364557188;0.008348886
Q9XYN7;Q7K148;1;0.489771709;0.740631865;0.776465963;0.799216574;0.098694012
Q24087;Q7KMG7;1;0.701131777;0.829614627;0.562777069;0.572044458;0.015825698
P09087;P29555;1;0.510841793;0.641957727;0.339706125;0.3735565;0.082094867
