Uniprot ID1;Uniprot ID2;Interaction;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Seq)
P62399;P0A7M2;1;0.436451783;0.713627394;0.641599298;0.647583755;0.056717986
P0AA10;P0A7L0;1;0.376638809;0.566578427;0.571129886;0.540843493;0.03299228
P0AG55;P0A7L0;1;0.466958541;0.757544541;0.342151886;0.397781397;0.031727547
P39452;P37146;1;0.481369001;0.552536452;0.772597178;0.723647206;0.015709757
P0AA86;P36655;1;0.421500205;0.519880608;0.440639848;0.471567545;0.045814502
P68183;P68187;1;0.577820653;0.696969324;0.569907814;0.526363951;0.023434796
P39177;P0A6F5;1;0.162225079;0.205719949;0.030294893;0.034720913;0.027922218
P02916;P0AEX9;1;0.44749926;0.536038516;0.314845993;0.320976741;0.017931448
P0AA10;P60422;1;0.34555639;0.590719703;0.212934801;0.275666263;0.038201724
P0AB67;P07001;1;0.549037604;0.758772668;0.848014187;0.85906065;0.019182755
P0ABH4;P16926;1;0.439885994;0.667465225;0.714576204;0.766600571;0.034887511
P0A836;P0AGE9;1;0.413904546;0.590774982;0.346317729;0.383775074;0.026078951
Q47155;P0A988;1;0.33171177;0.414676105;0.288605668;0.285332193;0.019277125
P06136;P25714;1;0.261711886;0.407063059;0.212145557;0.265158001;0.021313317
P69490;P0ABM1;1;0.494663848;0.582646472;0.586785003;0.547379308;0.032954188
P0A8Q3;P0AC47;1;0.460553561;0.549241267;0.36017849;0.337461128;0.031709528
P0A7J3;P0A7K2;1;0.499038985;0.733758576;0.517363565;0.569877587;0.071128675
P0AE67;P07363;1;0.357320689;0.417330866;0.206108201;0.212289397;0.023850025
P0AD68;P0ABG4;1;0.379649476;0.50972748;0.450687792;0.470889387;0.014627763
P69786;P50456;1;0.173863923;0.232879489;0.034210893;0.03936555;0.018550893
P0A877;P0A879;1;0.42800997;0.641884976;0.717649337;0.68102223;0.022277162
P68919;P60438;1;0.424968768;0.682610316;0.264119322;0.308579751;0.037714973
P0A7L3;P61175;1;0.336421105;0.52827036;0.219681062;0.255513509;0.067531474
P0A6Z1;P0AAC8;1;0.26728371;0.412229127;0.059092818;0.074689738;0.020182818
P0AE82;P0AE88;1;0.170612455;0.194083825;0.037417568;0.039650657;0.02346728
P0A6Y8;P18775;1;0.188060616;0.238455386;0.032241856;0.034029559;0.014535636
P00452;P69924;1;0.51287919;0.716466638;0.558082186;0.525802978;0.014906354
P0A6H5;P0A7B8;1;0.539631846;0.760326195;0.750429719;0.770787779;0.02560349
P0A9P6;P42641;1;0.286342368;0.37052314;0.089104089;0.100435131;0.017790043
P69054;P0AC44;1;0.572137306;0.778519714;0.709380364;0.734117604;0.056789846
P60438;P0A7K2;1;0.310915289;0.519031783;0.209100452;0.252521652;0.050048257
P0A7K6;P0AG55;1;0.625170212;0.948756246;1;1;0.053340049
P0A7J7;P0A7K2;1;0.285875563;0.460921727;0.128475394;0.162167878;0.048689937
P0A6B7;P27838;1;0.319227019;0.456093761;0.203368339;0.206890927;0.036835418
P68183;P0AEX9;1;0.41056596;0.491136324;0.262729122;0.268042108;0.023789615
P0ABF1;P05055;1;0.242949381;0.356770058;0.085597434;0.104139698;0.012839733
P0ABM9;P33927;1;0.388310788;0.569492786;0.303569159;0.324135726;0.016508632
P27434;P16926;1;0.435876459;0.561429084;0.643927893;0.640218196;0.021660694
P0A9Z1;P0AFB5;1;0.211416227;0.288186498;0.06154982;0.070188735;0.027596654
P10408;P0AG96;1;0.496874712;0.639678563;0.494485946;0.501694916;0.014797487
P11349;P19319;1;0.494406869;0.601024048;0.379297637;0.374947908;0.009421383
P07330;P07363;1;0.312818817;0.425432897;0.163145964;0.191742868;0.018543424
P60438;P0A7J7;1;0.469899519;0.734297227;0.438139615;0.486722869;0.044819256
P0A7L3;P0A7L0;1;0.427729738;0.683256871;0.300844507;0.350505741;0.046731523
P62399;P60438;1;0.436451783;0.713627394;0.641599298;0.647583755;0.040671561
P77211;P77214;1;0.576025682;0.638460554;0.380097788;0.37821304;0.021359142
P30130;P08191;1;0.176178832;0.236870472;0.059083784;0.071305097;0.018205095
P16926;P0A9X4;1;0.37568325;0.53261439;0.342916487;0.367408798;0.021474452
P27434;P0A9X4;1;0.376346354;0.453408135;0.348290306;0.330222404;0.021743291
P61175;P0A7L0;1;0.339241888;0.533265643;0.171708222;0.215183213;0.046694714
P05055;P0A8J8;1;0.261549411;0.404188345;0.060409055;0.077483724;0.016176167
P62399;P0A7L0;1;0.407947067;0.663561812;0.298169626;0.342565543;0.030031713
P0AGD7;P61175;1;0.268746097;0.406995841;0.060361324;0.078791359;0.027933317
P68919;P0A7K2;1;0.356347747;0.538191348;0.322125206;0.347866105;0.050214177
P0A6G7;P0ABH9;1;0.394752979;0.510068356;0.282641199;0.283855536;0.016678458
P0A9A6;P46889;1;0.311911197;0.408906344;0.104772674;0.117120426;0.014143897
P0A8T1;P0A7J7;1;0.190357362;0.31032213;0.03663615;0.055952816;0.032269192
P0AA10;P0A7M2;1;0.284491822;0.488692746;0.13138234;0.167657067;0.066043427
P23909;P03018;1;0.358392385;0.459075095;0.22073686;0.227930899;0.012574479
P68919;P0A7K6;1;0.496924509;0.760035929;0.322136209;0.371159686;0.06136491
P0ABV6;P19934;1;0.473627815;0.649508433;0.286045274;0.350504748;0.026000099
P68919;P62399;1;0.497204264;0.725435027;0.320141868;0.361500923;0.059705218
P0A6F9;P0A6F5;1;0.570047472;0.779253086;0.500323297;0.469555363;0.020938009
P02916;P68187;1;0.543783972;0.654826754;0.536173629;0.497086842;0.019873316
P0A7K6;P0AGD7;1;0.269399033;0.40414896;0.069445721;0.086310361;0.02623849
P0A7K6;P0AA10;1;0.405383932;0.615493435;0.241898073;0.282274201;0.077719915
P0AGD7;P0AG55;1;0.269399033;0.40414896;0.069445721;0.086310361;0.020596681
P0A6F1;P00968;1;0.444477965;0.572082896;0.467357805;0.440728726;0.012331563
P0AD68;P29131;1;0.281961699;0.37231311;0.115652955;0.140131862;0.015831416
P0A7M2;P0A7L0;1;0.477511661;0.768988657;0.396739951;0.465348843;0.038606858
P62399;P60422;1;0.42238316;0.684638354;0.543348757;0.531603838;0.03050129
P10408;P00634;1;0.154985679;0.209018272;0.031604206;0.035783625;0.011301063
P0A6Y8;P09372;1;0.378651024;0.520512665;0.23778914;0.250312048;0.018052985
P0A7K6;P60422;1;0.481394634;0.778621083;0.624175933;0.617289512;0.029347949
P0AES4;P0AES6;1;0.501273996;0.643505802;0.740988576;0.700341772;0.009629834
P46889;P0AFI2;1;0.236039569;0.279794656;0.070595417;0.07765195;0.010274512
P61175;P60422;1;0.353677981;0.554342185;0.291520393;0.32176504;0.035874799
P0A8M3;P0A6F5;1;0.261844849;0.400228953;0.162815346;0.202053995;0.015864059
P33937;P0A9I5;1;0.18753631;0.247496776;0.051475582;0.059925369;0.015326487
P0A6Y8;P08622;1;0.468263533;0.626269587;0.36433761;0.388653975;0.018692057
P0ABJ3;P0ABJ1;1;0.64552407;0.840802583;0.873014847;0.871394923;0.03245353
P62399;P60723;1;0.30799018;0.481283078;0.096268519;0.121876638;0.030779633
P0A8Q3;P0A8Q0;1;0.560293971;0.708842747;0.53754621;0.541706336;0.043289146
P62399;P0A7J7;1;0.495578553;0.737439889;0.454691652;0.492613426;0.043616257
P68919;P0AGD7;1;0.228792757;0.335820743;0.042769123;0.055985919;0.026465082
P19934;P0A855;1;0.539947157;0.608914353;0.671413024;0.624355345;0.017588648
P0AA10;P60438;1;0.284491822;0.488692746;0.13138234;0.167657067;0.046574406
P0A9A6;P77173;1;0.321683335;0.428587178;0.113238754;0.113699178;0.024331217
P0AG55;P62399;1;0.536082809;0.820832088;0.783586093;0.785135081;0.047177625
P24183;P0AAJ3;1;0.559174215;0.723490129;0.672192407;0.633361577;0.012929308
P0ABF1;P0A8J8;1;0.267012606;0.410175352;0.165629042;0.186762168;0.020813786
P07017;P0A964;1;0.374453241;0.415260875;0.32157715;0.305813092;0.019562777
P0A7J7;P0A7L0;1;0.431620583;0.668845836;0.262955818;0.312160256;0.03994326
P0A7L3;P0A7K2;1;0.291367479;0.479641774;0.144742665;0.178439399;0.069888999
P24183;P0AEK7;1;0.539184939;0.684265335;0.577569203;0.514456895;0.013182519
P12281;P09152;1;0.206680557;0.25979655;0.057404454;0.061131637;0.010499352
P0AGD7;P62399;1;0.291664626;0.438419784;0.071719727;0.089845565;0.025889809
P60422;P60438;1;0.491947754;0.790065199;0.807287917;0.780325256;0.034044698
P0AG99;P0AG96;1;0.668533448;0.8315475;0.929369487;0.896856044;0.067936502
P0AG55;P60438;1;0.504278102;0.821955558;0.737363835;0.751963458;0.033661433
P0A9A6;P22523;1;0.384782061;0.515749979;0.427758607;0.452030458;0.011693851
P0A6Z1;P0ACD4;1;0.228440297;0.361691559;0.055151622;0.070308537;0.023698903
P06722;P23367;1;0.540357145;0.573795519;0.525673475;0.480045504;0.019340088
P10408;P0AG86;1;0.492808646;0.621678213;0.546176542;0.501553288;0.016894613
P0ABF1;P0A6X3;1;0.222492848;0.329505721;0.064601349;0.089928922;0.021686829
P0AG55;P0A7J7;1;0.532501358;0.801579191;0.507641676;0.555821704;0.048942611
P0A7L3;P0A7J7;1;0.512209469;0.741048156;0.43592139;0.481480247;0.072935835
P60422;P0A7J7;1;0.446056676;0.689922378;0.396653367;0.428068604;0.032077379
P23909;P06722;1;0.51003824;0.549466602;0.457417142;0.414999976;0.016366564
P0A964;P07363;1;0.484110783;0.599598711;0.371252579;0.386337465;0.025152251
P0AEZ3;P18196;1;0.463933541;0.62762352;0.175892297;0.189335141;0.02948488
P0ABS5;P0ACB0;1;0.229520699;0.284396818;0.113676043;0.116919334;0.025632876
P60422;P0A7L0;1;0.453668818;0.724613808;0.362416251;0.411447725;0.032840491
P0A9R4;P0AAC8;1;0.412566311;0.599941056;0.560684039;0.561708541;0.046571442
P0AGD7;P0A7J7;1;0.248014354;0.360731423;0.06149468;0.077650774;0.032152105
P0AEX9;P68187;1;0.395474772;0.474456649;0.208776125;0.211576218;0.020712698
P46889;P20083;1;0.16227791;0.203196256;0.028227399;0.034259354;0.008949046
P0A6B7;P0A890;1;0.431726145;0.581641938;0.324669764;0.330750847;0.025259837
P0AE06;P02930;1;0.441792041;0.544825726;0.286600458;0.290749436;0.021901165
P0AG67;P05055;1;0.17610575;0.242561746;0.03129364;0.038915411;0.043066805
P0A6Y1;P0A6X7;1;0.325395777;0.561690407;0.556348389;0.546158095;0.296246325
P03018;P23367;1;0.361449185;0.417045814;0.227884615;0.223989191;0.012054908
P69425;P69423;1;0.634704611;0.819439689;0.910077118;0.891279898;0.039166691
P0AG55;P0A7M2;1;0.504278102;0.821955558;0.737363835;0.751963458;0.069424558
P0A7K6;P0A7K2;1;0.299402794;0.506547294;0.168634349;0.205331468;0.054408824
P0C0V0;P06996;1;0.246752848;0.318828146;0.073724898;0.079990913;0.017889732
P10408;P0AGA2;1;0.479317094;0.617438746;0.461335047;0.472579202;0.012461783
P0A8Q3;P00363;1;0.472198871;0.560296527;0.321389022;0.30344602;0.023760109
P0A7W7;P0A7S3;1;0.415724468;0.593499651;0.249798579;0.281998929;0.049274985
P02929;P06129;1;0.400654173;0.477640248;0.229229413;0.234323635;0.018788427
P0AFB5;P0AC38;1;0.198238672;0.235984498;0.080933665;0.085065765;0.018265015
P0A6G7;P0A6H1;1;0.430039168;0.556066098;0.417727113;0.412974638;0.022041734
P11349;P11350;1;0.543610336;0.684142584;0.554162019;0.528598274;0.019091747
P0ABI8;P0ABJ1;1;0.646847886;0.829312422;0.820684116;0.803209698;0.016997405
P11349;P19318;1;0.518476189;0.62754135;0.436246627;0.441249912;0.804224985
P60723;P0A7J7;1;0.261720203;0.381108868;0.084414822;0.106748872;0.042159616
P0A8Q0;P0AC47;1;0.564109326;0.676578723;0.716927825;0.664965643;0.037607321
P68919;P60422;1;0.4020853;0.639275842;0.248009886;0.283222985;0.030875122
P03004;P0ACB0;1;0.311768496;0.506413465;0.204929639;0.237118972;0.019558182
P60785;P0A7S3;1;0.2580814;0.343904238;0.120862025;0.135737076;0.020717449
P0A9R4;P0A6B7;1;0.330083152;0.47174869;0.218944339;0.226114895;0.035404539
P61175;P0A7J7;1;0.340524725;0.517895646;0.185904367;0.223227628;0.061062519
P0A6Y8;P0AGB3;1;0.294884316;0.40522452;0.085008416;0.096751765;0.017254853
P0AG55;P60723;1;0.277063409;0.430231394;0.094122273;0.118240506;0.046172663
P42641;P0AG24;1;0.200410355;0.299264585;0.039465212;0.055993157;0.01450015
P0AGD7;P60438;1;0.258535569;0.391306365;0.062646706;0.079608799;0.022285044
P23909;P23367;1;0.585944811;0.73358472;0.851869474;0.847172519;0.014621115
P61175;P60438;1;0.364022615;0.575861353;0.335059874;0.383396703;0.050774375
P0ABH0;P0A9A6;1;0.42151203;0.62022734;0.334981202;0.364817048;0.01997331
P60438;P0A7L0;1;0.477511661;0.768988657;0.396739951;0.465348843;0.034827405
P60723;P0A7M2;1;0.285218093;0.439074575;0.105801159;0.133398918;0.044547044
P30748;P12282;1;0.426206649;0.632285023;0.80040972;0.806873359;0.045700222
P0AGD7;P0AA10;1;0.298692865;0.446601912;0.062975973;0.080824842;0.030697172
P61889;P0A6F5;1;0.155082835;0.246572525;0.025741119;0.038422232;0.01947152
P0ACD4;P0A6B7;1;0.35791951;0.513925973;0.213197453;0.215878848;0.022391579
P0A6Y8;P0A6F5;1;0.421368276;0.591158698;0.468324065;0.504259296;0.016725318
P60422;P0A7K2;1;0.305268647;0.502296523;0.18722854;0.219825684;0.036301138
P0AG55;P60422;1;0.481394634;0.778621083;0.624175933;0.617289512;0.039632597
P0ABD5;P0A9Q5;1;0.436019831;0.553962652;0.365774546;0.368236381;0.026046768
P0AG30;P0AFG0;1;0.388250956;0.530943429;0.423610794;0.438214017;0.028270486
P0A7S3;P0A7J7;1;0.340125522;0.480842088;0.12782655;0.157083313;0.04296022
P08200;P11071;1;0.213504977;0.274466659;0.052286467;0.06082902;0.016509103
P0A7K6;P0A7M2;1;0.504278102;0.821955558;0.737363835;0.751963458;0.050663499
P0A6Z1;P0A6L9;1;0.479397;0.637273309;0.295660728;0.286389524;0.019053229
P60438;P0A7M2;1;0.515790597;0.834440047;1;1;0.046403247
P0ABJ3;P0ABI8;1;0.585332801;0.764117263;0.788903303;0.770335673;0.017142009
P0AE06;P24177;1;0.376038281;0.503916576;0.308598911;0.320240674;0.013162181
P0A7L3;P60422;1;0.442165831;0.704333413;0.499148941;0.51044834;0.035520467
P60723;P0A7L0;1;0.368891737;0.50824689;0.366117828;0.368338371;0.036123919
P0A7K6;P60438;1;0.504278102;0.821955558;0.737363835;0.751963458;0.043745305
P0AFM6;P0AFN2;1;0.244492497;0.298360005;0.105967253;0.10412424;0.044404339
P68183;P02916;1;0.599872188;0.789614335;0.909064709;0.912564202;0.042948346
P69924;P0A6S5;1;0.218702279;0.347360209;0.067531607;0.089822723;0.037066894
P0AFI2;P20083;1;0.485497283;0.604951384;0.366518314;0.376146627;0.013253133
P07395;P08312;1;0.5205716;0.693673782;0.908334514;0.865498485;0.019092983
P0A7K6;P60723;1;0.277063409;0.430231394;0.094122273;0.118240506;0.038442108
P0A9R4;P0A6Z1;1;0.221095974;0.351244575;0.059962393;0.076903688;0.021353003
P09152;P0AF32;1;0.513082404;0.622226364;0.383308619;0.370081333;0.010284608
P0ABF1;P21507;1;0.249061865;0.356433872;0.089067171;0.114283126;0.019770782
P62399;P61175;1;0.383436891;0.614428547;0.282033364;0.328406044;0.03745335
P03018;P0A698;1;0.401541786;0.513082413;0.297578139;0.309836977;0.012114427
P0A7K6;P62399;1;0.536082809;0.820832088;0.783586093;0.785135081;0.037205595
P0AFY8;P0AFI2;1;0.344410698;0.423768551;0.142687013;0.157111934;0.019656368
P0AA10;P60723;1;0.358504539;0.515244142;0.340930349;0.337546454;0.043965704
P0AGD7;P60723;1;0.216965356;0.31709199;0.031052728;0.042563368;0.021000849
P0AC47;P00363;1;0.563428729;0.72805389;0.669542323;0.640891378;0.017390656
P69786;P69783;1;0.331122958;0.50829567;0.196413896;0.228864355;0.021574068
P06136;P29131;1;0.456521315;0.62534876;0.678341949;0.673014561;0.023832098
P11349;P0AF32;1;0.513082404;0.622226364;0.362382725;0.349220636;0.022075857
P33927;P69490;1;0.465056548;0.617571665;0.592692971;0.580596598;0.020025695
P0AA10;P62399;1;0.406138758;0.637541445;0.215076883;0.258526905;0.045519712
P0AG55;P0A7K2;1;0.299402794;0.506547294;0.168634349;0.205331468;0.043865289
P0AD68;P06136;1;0.333212608;0.447051775;0.131911619;0.159162903;0.022196857
P31224;P0AE06;1;0.472724247;0.656061402;0.482554781;0.492329879;0.012583927
P61175;P60723;1;0.460285182;0.621502388;0.246639472;0.272792034;0.054077719
P60422;P0A7M2;1;0.491947754;0.790065199;0.807287917;0.780325256;0.050527192
P22523;P0A6A8;1;0.23119217;0.333795424;0.049758425;0.065732579;0.009205499
P13024;P32176;1;0.21667112;0.349111562;0.079961411;0.103759058;0.014213816
P0AD68;P0ABH0;1;0.365872905;0.470754565;0.151581032;0.159141409;0.019825528
P0A7V8;P02359;1;0.514856103;0.692306005;0.66695521;0.669933262;0.036310916
P0A7L0;P0A7K2;1;0.290832554;0.481219981;0.119889995;0.157136572;0.042657013
P0A9A6;P18196;1;0.292114638;0.417428133;0.080622108;0.097823066;0.022034165
P68919;P0AA10;1;0.41374042;0.587039463;0.500749555;0.485410498;0.052242678
P00579;P0ACJ8;1;0.226760903;0.361992684;0.034524334;0.051340654;0.02160887
P0ACE3;P0ACF8;1;0.283986216;0.438455423;0.096154511;0.110913279;0.086582063
P0C0V0;P0AEE3;1;0.462573498;0.651766031;0.425420266;0.436633237;0.248759613
P09152;P11349;1;0.641808203;0.77807818;0.863203584;0.858775634;0.009403659
P0AGA2;P0AG96;1;0.63980738;0.820597682;0.916673233;0.92594111;0.034657905
P10408;P0A6A8;1;0.208942816;0.317389767;0.038635472;0.055527969;0.015655937
P0ACF4;P0ACF0;1;0.37045229;0.656910363;0.627278628;0.640934812;0.696386699
P0AFR2;P0A6F5;0;0.118019924;0.165413777;0.015285306;0.019672002;0.015144103
P0A890;P69786;0;0.168933796;0.294922764;0.03422581;0.050960556;0.023890706
P23367;P0AGE0;0;0.374109191;0.483934235;0.291576457;0.294624547;0.019356133
P0AE70;P0A6F3;0;0.211112568;0.247793392;0.061422382;0.066068816;0.024744153
P0AE82;P0A8T1;0;0.29384178;0.323401973;0.167111632;0.165565542;0.021984819
P0A759;P00452;0;0.334086196;0.508556858;0.195193634;0.20722191;0.015027302
P0A836;P0AEC8;0;0.175003472;0.22701696;0.04484845;0.050263721;0.015887353
P69783;P0ABM1;0;0.218715096;0.285550876;0.110362614;0.117778819;0.032163223
P0ABH9;P0A8Q3;0;0.151619099;0.195403139;0.029885823;0.031227991;0.017203496
P0AE88;P0A858;0;0.158000876;0.27436193;0.025471606;0.041010176;0.033552837
P0A796;P19934;0;0.160478676;0.207938652;0.014086432;0.01684126;0.024939834
P60438;P0AFY8;0;0.272771689;0.381575477;0.094782584;0.108880325;0.036680693
P19319;P0A858;0;0.285858136;0.36479892;0.060092983;0.06978866;0.011346231
P69425;P00452;0;0.192165977;0.294337596;0.038066215;0.050370219;0.015915478
P06996;P37146;0;0.197370793;0.259338904;0.036376411;0.0429563;0.024848907
P0ABM9;P0A9P0;0;0.289249283;0.359362459;0.081910942;0.086384293;0.01973537
P0AE70;P39453;0;0.231935877;0.260778796;0.076158396;0.076654025;0.013327292
P69741;P0AFG0;0;0.196380164;0.255758385;0.052603365;0.05847457;0.022333325
P02930;P0AF32;0;0.164113315;0.211535782;0.034787441;0.041914314;0.023292208
P50456;P0ABS5;0;0.351463298;0.452187111;0.425608513;0.410860801;0.016700435
P0ABJ1;P08312;0;0.206417844;0.257236871;0.04662528;0.047826412;0.022516047
P69228;P0AF28;0;0.31491946;0.427024108;0.317296222;0.320020729;0.094951222
P0A8N7;P06972;0;0.170101855;0.223197357;0.029766026;0.035743734;0.019570276
P0A836;P36655;0;0.164597351;0.213685356;0.052197111;0.060885333;0.02029624
P0A836;P68183;0;0.175335495;0.226061705;0.044702522;0.050065918;0.033360132
P0AG30;P0AA86;0;0.197432114;0.255409569;0.060107296;0.06555712;0.023646236
P69428;P03959;0;0.360837961;0.448665221;0.15058232;0.169676427;0.027556485
P0ABV6;P60723;0;0.155063635;0.208294666;0.022238621;0.027521313;0.047420361
P76503;P0A890;0;0.178842841;0.309680705;0.041893096;0.056357729;0.024070148
P0AF32;P0AFG0;0;0.173908899;0.220286942;0.04134145;0.046053722;0.03440151
P69681;P0ACF0;0;0.196559115;0.319889853;0.060214672;0.082912677;0.026378073
P21507;P0AF32;0;0.199958009;0.257311097;0.055598681;0.062255457;0.021376099
P0AEC8;P69425;0;0.189789076;0.322507608;0.070347967;0.102773537;0.023385099
P27434;P0A6F9;0;0.15807619;0.204676431;0.054703751;0.064463857;0.032639653
P0AEC5;P0A8Q0;0;0.170011873;0.257736905;0.038821007;0.054452286;0.013995559
P0A6Y8;P69797;0;0.154149404;0.243130595;0.029257279;0.042447824;0.017035605
P23893;P23837;0;0.242229743;0.367169227;0.069274338;0.081979273;0.016486712
P08200;P0AFY8;0;0.211620766;0.316949347;0.044563252;0.062945837;0.032518405
P0A964;P00363;0;0.232151509;0.320390668;0.062587098;0.080170154;0.019432911
P06996;P0A6S5;0;0.188643368;0.246658771;0.06019697;0.068759487;0.028938583
P0AAJ3;P0A6H1;0;0.204437398;0.248284817;0.044553854;0.044398734;0.023479922
P0A6A6;P0AG99;0;0.144477211;0.190123668;0.031553304;0.039398555;0.024018232
P39452;P0AEZ3;0;0.136869604;0.1838021;0.015150241;0.017202058;0.016264918
P69797;P0ABJ1;0;0.287163522;0.363093047;0.098265249;0.112975253;0.02503779
P0AGD7;P0A812;0;0.256878355;0.372171705;0.084134539;0.100414876;0.020866423
P08400;P04152;0;0.349632564;0.468164597;0.190611509;0.207059544;0.016556382
P69425;P0AES4;0;0.170915529;0.275610624;0.033150601;0.046795906;0.013473167
P07363;P0A9I5;0;0.269793274;0.314513932;0.051375437;0.059657307;0.018495179
P03959;P0AFG6;0;0.187204858;0.240161138;0.031093827;0.036267487;0.016169345
P04152;P0AFR2;0;0.151861742;0.261136023;0.033416444;0.05230362;0.01490556
P69425;P50456;0;0.202741297;0.33945457;0.047378435;0.06680776;0.031617903
P0A877;P0AF28;0;0.147598043;0.285056035;0.022493466;0.039757911;0.031911944
P00363;P0AES6;0;0.278265386;0.367072817;0.120314146;0.132158652;0.011989334
P0AD68;P0AFN2;0;0.163556698;0.214821111;0.036440573;0.042911549;0.02076967
P69741;P0A9P6;0;0.176258802;0.228206753;0.022654782;0.026968635;0.015925524
P0AB71;P07017;0;0.15579224;0.198558579;0.018180191;0.02321003;0.015616508
P07001;P0AES4;0;0.229851738;0.304808072;0.070238881;0.077871042;0.013431276
P0A6F1;P0A7N4;0;0.193175861;0.296096154;0.05208415;0.07127022;0.029618178
P33937;P07001;0;0.317292042;0.40487639;0.144522685;0.137070074;0.012776567
P0A9X4;P0A7C2;0;0.225600742;0.315097245;0.056362333;0.064567403;0.024390699
P0A7C2;P36655;0;0.209052202;0.244248444;0.042039594;0.042344865;0.025699322
P0AEC8;P31547;0;0.189617133;0.325177309;0.066120964;0.098227425;0.018945044
P0A7K2;P06616;0;0.308781803;0.441642352;0.12860174;0.131624741;0.030270211
P0A7H0;P23873;0;0.226446874;0.278201777;0.199667053;0.200415736;0.029406447
P0AE70;P0A8T1;0;0.219607337;0.257524513;0.05908571;0.067133782;0.036178727
P21507;P0A850;0;0.190796029;0.296961318;0.051794357;0.071610904;0.022840235
P0AE06;P0AFR2;0;0.356619143;0.450531854;0.19552175;0.201649146;0.017181431
P0A812;P06129;0;0.134232586;0.173805247;0.029129148;0.036209531;0.016398665
P0ABS5;P0A8Q3;0;0.161034544;0.211836542;0.038012106;0.040704155;0.024606118
P0A7S3;P23893;0;0.246521455;0.37616505;0.121026014;0.136839775;0.02536132
P10408;P29018;0;0.338831013;0.444898879;0.176232559;0.196284682;0.0144358
P0A879;P0ABU9;0;0.177174633;0.239604159;0.028780879;0.032897723;0.025359282
P0AE06;P04152;0;0.185126317;0.286458088;0.043226466;0.060190649;0.020157694
P0A877;P20083;0;0.179038805;0.341673254;0.037527362;0.062471884;0.019984943
P0AC47;P60438;0;0.2460815;0.357474728;0.091290688;0.102278362;0.033771159
P31224;P0AAJ3;0;0.199080149;0.286558906;0.104716568;0.131459804;0.015383078
P0A8F0;P23909;0;0.261805339;0.450644133;0.127780526;0.148725156;0.020228698
P25516;P07001;0;0.266191964;0.34480887;0.104818257;0.105601459;0.012579018
P0A8N7;P0A850;0;0.219482007;0.317724122;0.086369984;0.112039183;0.020497345
P0ACJ8;P06136;0;0.200303501;0.309172317;0.030079866;0.043028001;0.036853286
P02916;P0AAJ3;0;0.203710242;0.287837885;0.078094504;0.100109646;0.018574844
P25516;P19318;0;0.314749071;0.398857329;0.20369841;0.211475131;0.013078713
P0AE88;P11350;0;0.131279316;0.177365388;0.019086266;0.02383111;0.031623769
