Uniprot ID1;Uniprot ID2;Interaction;BMA Resnik;BMA Seco;GIC Resnik;GIC Seco;Sim(Seq)
P39706;P38123;1;0.570591341;0.753662263;0.89016495;0.875547667;0.065811909
P40070;P40089;1;0.530754747;0.707301011;0.703922521;0.684184233;0.072578081
P33298;P53549;1;0.524875925;0.740010327;0.602973364;0.634107797;0.318569392
Q04048;Q12417;1;0.467355285;0.615370138;0.433412793;0.42221808;0.015332788
P38251;P40348;1;0.619139798;0.800744029;0.76813944;0.804662079;0.162460387
P39743;P53169;1;0.202280959;0.328940555;0.051660416;0.067456779;0.014688876
P25451;P23639;1;0.46114881;0.671366574;0.497427184;0.557894323;0.033042095
P40302;P21242;1;0.585393497;0.809587015;0.926343256;0.922721993;0.18647399
P15436;P47110;1;0.465941599;0.607662162;0.455578393;0.438493445;0.013109646
P08067;P07143;1;0.473726839;0.677342188;0.22518257;0.253709781;0.027420255
P01120;P01119;1;0.509494353;0.712346537;0.344625122;0.379820256;0.503291918
P32790;P33338;1;0.435092612;0.631027585;0.44316464;0.440307498;0.008830761
P29366;P19073;1;0.340969913;0.470715854;0.100647955;0.114983303;0.021617166
P40070;P34230;1;0.184089551;0.283490325;0.044822408;0.057238065;0.014355659
P21691;P54784;1;0.367962437;0.507130886;0.283684621;0.272844166;0.011191141
P25293;P53939;1;0.251737663;0.461519089;0.054673145;0.087025554;0.023367289
P00163;P08067;1;0.552147997;0.771160011;0.622831664;0.635694412;0.029602441
P32790;Q06604;1;0.409362902;0.633180261;0.20629472;0.23863402;0.011824313
P38203;Q06217;1;0.407908134;0.526140091;0.192519727;0.184002235;0.113408442
P23638;P32379;1;0.581842327;0.802158265;0.857879796;0.869620039;0.274333115
P22141;P30656;1;0.497251133;0.707115925;0.508054932;0.565665906;0.114063927
P34077;Q03790;1;0.475183989;0.640117832;0.338803435;0.36406473;0.012800818
P12754;P32502;1;0.559892423;0.701667414;0.929721825;0.873975066;0.020569721
P38620;Q12265;1;0.586197203;0.768119456;0.99341762;0.992026824;0.138573932
P43609;Q06168;1;0.489106581;0.670890135;0.593047051;0.596044376;0.019268001
P32628;P14736;1;0.445969233;0.611129774;0.598288347;0.602251622;0.012502379
P25343;P39743;1;0.586898978;0.739652326;0.540547634;0.559398413;0.087322731
P38682;P41811;1;0.423726436;0.588292995;0.331395736;0.340451076;0.01162279
P54861;P53550;1;0.260586268;0.395381367;0.081952406;0.095409013;0.010191617
P17442;P40186;1;0.304021266;0.450661485;0.260973511;0.288707476;0.010698881
P07278;P06245;1;0.375789816;0.517584558;0.174186636;0.200819471;0.022132894
P17157;Q08966;1;0.356873728;0.466919507;0.260120933;0.259328237;0.020400827
P41811;P40509;1;0.534660288;0.732957084;0.754251301;0.766368484;0.013632777
P53079;P53959;1;0.562573548;0.758130867;0.823599363;0.838490787;0.014361992
Q12517;P29295;1;0.238967959;0.36171378;0.091174594;0.107561109;0.029851498
P39998;P53550;1;0.427969606;0.605781818;0.354970479;0.382968576;0.011166932
P52286;Q06479;1;0.390234652;0.494576794;0.214676571;0.22308333;0.016196666
P33203;Q12186;1;0.396291396;0.593715692;0.551745865;0.564869409;0.015631568
P21243;P25043;1;0.469925086;0.697103792;0.836047355;0.823343616;0.026612065
P11076;P40509;1;0.29564635;0.44402061;0.183960818;0.176670819;0.025388492
P53207;P33203;1;0.498774478;0.695428851;0.851992588;0.800575171;0.015154381
P14681;P13574;1;0.27085422;0.38961255;0.146553473;0.159819951;0.015628768
P17442;P20052;1;0.307952079;0.444415807;0.254746179;0.270708178;0.01294104
P31377;P32381;1;0.286162565;0.378619856;0.110198824;0.11057481;0.023697838
P23201;P41832;1;0.466089626;0.609869746;0.151831931;0.163994393;0.006054907
Q12446;P32486;1;0.184640669;0.282766622;0.021043086;0.026621031;0.012338911
P52918;P21268;1;0.204701679;0.328289017;0.045109729;0.072538101;0.009255169
P06701;P11938;1;0.470207742;0.616717923;0.446186414;0.452933809;0.011616735
P31377;P32566;1;0.168470972;0.271574849;0.05996199;0.078731116;0.018831265
Q04048;Q03654;1;0.499054566;0.662136388;0.624143786;0.587701879;0.01107024
P39517;P34230;1;0.260169613;0.390341101;0.139086581;0.17765838;0.013838952
P19073;P41832;1;0.412861685;0.550732799;0.12349046;0.131250752;0.007333056
Q00362;P54786;1;0.376738736;0.52199658;0.180465413;0.179241941;0.014190523
P11978;P11938;1;0.503288701;0.63704231;0.46264837;0.469006051;0.010261198
P31377;P32491;1;0.136817511;0.21804646;0.011851912;0.015654125;0.022006504
Q03337;Q03630;1;0.602403886;0.831858273;0.667229582;0.685914503;0.033429028
P43603;Q12446;1;0.437532044;0.587743351;0.169532896;0.187056717;0.019146281
P40089;P57743;1;0.551237428;0.734113882;0.800150702;0.775086093;0.215195546
P25655;P46677;1;0.249894503;0.356241526;0.21001794;0.220363478;0.006145151
Q06648;P19073;1;0.446432877;0.589692839;0.207141254;0.219143312;0.026326856
Q03973;P39521;1;0.370528143;0.521779517;0.20409982;0.227019637;0.015316565
P25693;P17157;1;0.29566219;0.378117242;0.109709759;0.120374467;0.02930008
P06787;P27466;1;0.217316351;0.321651014;0.056288146;0.060450061;0.02943597
P29366;P39969;1;0.289703295;0.424313761;0.157657792;0.186574929;0.012719779
P38886;P38631;1;0.21280923;0.327418463;0.077435627;0.098172525;0.00790633
P32501;P09032;1;0.52698018;0.676641084;0.521891468;0.555738416;0.02741857
P33332;P19073;1;0.302516574;0.464158904;0.074505556;0.096019032;0.012984494
Q03497;P19073;1;0.423064377;0.573750488;0.177143709;0.198070393;0.012921155
P40089;P47017;1;0.4172821;0.548567279;0.452338781;0.425684511;0.143718828
P43621;P53847;1;0.344060243;0.536845473;0.188978753;0.224051426;0.015880915
P32563;P41807;1;0.448989773;0.658642511;0.573019652;0.564716989;0.013608653
P32793;Q12446;1;0.484934511;0.598782966;0.231323548;0.245375828;0.017807042
P32325;P54790;1;0.314962814;0.406517054;0.119337402;0.125773449;0.01274119
P53271;Q06096;1;0.569141732;0.793681849;0.925193692;0.915831772;0.015034232
P16892;Q03373;1;0.22694872;0.32467259;0.063033766;0.073506138;0.021582711
Q03435;P38429;1;0.281544523;0.349403501;0.121093534;0.119617071;0.032300268
P38203;P40089;1;0.558558446;0.749653811;0.598807643;0.60691795;0.131116258
P38624;P25043;1;0.569182575;0.808432684;0.963769102;0.949567942;0.192119921
P16892;P23561;1;0.478378163;0.64064269;0.364510759;0.390152251;0.071713592
P10869;P20081;1;0.214060864;0.325598094;0.070255964;0.087878169;0.024504578
P38203;P34230;1;0.160948382;0.268246942;0.033641539;0.04705891;0.01639857
Q03338;P20053;1;0.495798969;0.663130574;0.642937152;0.659207672;0.016572262
Q03337;P36149;1;0.564737131;0.819556653;0.50637744;0.523622196;0.052214504
P25655;P34909;1;0.326422827;0.474216315;0.259775626;0.278561825;0.007445126
P46957;P47110;1;0.607061899;0.781885399;0.826850396;0.811363421;0.021615127
P38874;Q06410;1;0.196051975;0.343258528;0.041838319;0.067171855;0.02423791
Q04048;P21374;1;0.542377479;0.688810909;0.417415192;0.403117138;0.014638401
P04050;Q00416;1;0.303618912;0.45455549;0.168305157;0.179472147;0.005949792
Q04003;Q99314;1;0.636662847;0.791864368;1;1;0.021547612
Q06263;P52917;1;0.338897911;0.445884745;0.294410773;0.287865468;0.024108349
P48837;P14907;1;0.525648032;0.715550466;0.480497241;0.487866148;0.024269921
P32908;P47037;1;0.483336743;0.703552163;0.552862396;0.582885994;0.062616147
P41819;P24869;1;0.187175814;0.272128644;0.037891171;0.047670584;0.017378666
P39016;P11972;1;0.221902494;0.265689677;0.053327203;0.057240481;0.012302631
P40089;P34230;1;0.179355566;0.262292129;0.038203221;0.045327389;0.016255464
P40016;Q06103;1;0.393923544;0.482467561;0.566454064;0.552003569;0.019155645
P52286;P39014;1;0.35732196;0.496457063;0.252635728;0.276352478;0.021407735
P32471;P02994;1;0.375507444;0.506023335;0.140831354;0.145238185;0.023328033
P31384;P06100;1;0.476465861;0.657005878;0.446786615;0.471330464;0.015440703
Q03435;P53115;1;0.44411234;0.582222761;0.361129226;0.346750644;0.012931578
P15436;P46957;1;0.470482977;0.636040419;0.519273965;0.514585796;0.013363932
P34230;P53905;1;0.177549379;0.273978354;0.041250093;0.052642353;0.015492822
P38692;Q08817;1;0.396998444;0.600139312;0.176555373;0.196861112;0.011482292
P40038;P17157;1;0.376071342;0.473628988;0.200838768;0.202735475;0.021470436
P47064;Q08951;1;0.563195075;0.731991022;0.836226909;0.847156235;0.016359072
P38203;P53550;1;0.308780589;0.4706772;0.159211078;0.188399914;0.013503014
